instance,feasibility,objective,runtime
0,1,979.876232,0.089308
1,1,1078.687954,0.089308
2,1,1002.065372,0.089308
3,1,1005.420399,0.089308
4,1,1051.801491,0.089308
5,1,1141.670322,0.089308
6,1,1029.006863,0.089308
7,1,994.795132,0.089308
8,1,1077.35939,0.089195
9,0,,0.089195
10,1,994.487381,0.089195
11,1,1081.613255,0.089195
12,1,954.296494,0.089195
13,1,1047.126484,0.089195
14,1,994.112015,0.089195
15,0,,0.089195
16,1,985.408783,0.089207
17,1,1028.070736,0.089207
18,1,996.665478,0.089207
19,0,,0.089207
20,0,,0.089207
21,1,999.725723,0.089207
22,1,975.635147,0.089207
23,1,1024.034405,0.089207
24,0,,0.089115
25,1,1021.001434,0.089115
26,1,1064.172745,0.089115
27,0,,0.089115
28,1,1057.045841,0.089115
29,1,1010.351849,0.089115
30,1,1016.529465,0.089115
31,1,1097.826576,0.089115
32,1,1051.177597,0.089096
33,1,1079.476738,0.089096
34,0,,0.089096
35,1,1003.395462,0.089096
36,1,1109.512711,0.089096
37,1,961.057568,0.089096
38,1,978.842163,0.089096
39,1,1068.667412,0.089096
40,1,1064.901733,0.089139
41,1,891.89024,0.089139
42,1,1008.058929,0.089139
43,1,1103.720474,0.089139
44,1,920.566082,0.089139
45,1,971.337509,0.089139
46,1,1067.852116,0.089139
47,1,916.199875,0.089139
48,1,997.47982,0.089145
49,1,1008.187675,0.089145
50,1,1060.968494,0.089145
51,1,1034.222698,0.089145
52,0,,0.089145
53,1,961.40337,0.089145
54,1,1114.917564,0.089145
55,1,1061.549377,0.089145
56,1,1022.580814,0.089203
57,1,888.751316,0.089203
58,1,1068.915272,0.089203
59,1,1021.843433,0.089203
60,1,969.213104,0.089203
61,1,994.387436,0.089203
62,1,1000.039005,0.089203
63,1,1052.077293,0.089203
64,1,1013.109303,0.089161
65,0,,0.089161
66,1,976.78709,0.089161
67,1,1045.241547,0.089161
68,1,967.217445,0.089161
69,1,967.674541,0.089161
70,1,1048.957825,0.089161
71,1,1011.687756,0.089161
72,1,1038.480377,0.08914
73,1,1042.6301,0.08914
74,1,946.274948,0.08914
75,1,1036.560822,0.08914
76,1,1014.009666,0.08914
77,1,954.158211,0.08914
78,1,1062.820053,0.08914
79,1,936.475086,0.08914
80,1,899.80793,0.089186
81,1,1031.655216,0.089186
82,1,922.799873,0.089186
83,1,979.330254,0.089186
84,1,1078.622341,0.089186
85,1,986.403561,0.089186
86,1,1078.228378,0.089186
87,1,988.08651,0.089186
88,1,981.646442,0.089153
89,1,948.70882,0.089153
90,1,1004.457855,0.089153
91,1,1010.816002,0.089153
92,1,1100.731373,0.089153
93,1,1051.652718,0.089153
94,1,1055.839634,0.089153
95,1,969.940948,0.089153
96,1,942.904758,0.089211
97,1,1042.047596,0.089211
98,1,1021.33131,0.089211
99,1,986.463642,0.089211
100,0,,0.089211
101,1,1125.702095,0.089211
102,1,1020.636654,0.089211
103,0,,0.089211
104,1,1078.887844,0.089135
105,1,986.508751,0.089135
106,1,986.835766,0.089135
107,1,962.334728,0.089135
108,0,,0.089135
109,1,1058.571625,0.089135
110,1,965.122223,0.089135
111,1,1026.105785,0.089135
112,1,959.915066,0.089178
113,0,,0.089178
114,1,1067.654037,0.089178
115,1,1013.096428,0.089178
116,1,1053.247929,0.089178
117,1,1038.187027,0.089178
118,1,1016.924381,0.089178
119,1,1039.008331,0.089178
120,1,1103.966904,0.089186
121,1,957.185841,0.089186
122,1,1038.971233,0.089186
123,0,,0.089186
124,1,951.413536,0.089186
125,1,1051.522827,0.089186
126,1,982.703876,0.089186
127,0,,0.089186
128,1,997.303295,0.089153
129,1,1019.352818,0.089153
130,1,989.734936,0.089153
131,1,1057.107067,0.089153
132,1,1052.345657,0.089153
133,1,1064.560795,0.089153
134,1,895.487881,0.089153
135,1,1076.858425,0.089153
136,0,,0.089136
137,1,1004.044247,0.089136
138,1,1000.004387,0.089136
139,1,1020.508575,0.089136
140,1,975.455093,0.089136
141,1,962.464905,0.089136
142,1,1093.907261,0.089136
143,1,1040.153217,0.089136
144,1,1056.076145,0.089119
145,1,1106.722355,0.089119
146,1,968.329811,0.089119
147,1,926.578999,0.089119
148,1,925.464058,0.089119
149,0,,0.089119
150,1,1081.317806,0.089119
151,1,1072.23568,0.089119
152,1,1108.095837,0.089135
153,1,1006.896019,0.089135
154,1,1087.845135,0.089135
155,1,983.837414,0.089135
156,1,983.34837,0.089135
157,1,958.839417,0.089135
158,1,1036.771584,0.089135
159,0,,0.089135
160,1,1004.482079,0.089169
161,1,1094.417191,0.089169
162,1,1060.726929,0.089169
163,0,,0.089169
164,1,1016.137505,0.089169
165,1,1072.577763,0.089169
