instance,feasibility,objective,runtime
0,1,972.673321,0.338649
1,1,1084.247971,0.338649
2,1,997.913551,0.338649
3,1,1045.268726,0.338649
4,1,1076.902294,0.338649
5,1,1106.892204,0.338649
6,1,1036.023808,0.338649
7,1,987.57,0.338649
8,0,,0.355413
9,0,,0.355413
10,1,988.982201,0.355413
11,1,1092.877102,0.355413
12,1,957.450485,0.355413
13,1,1007.923317,0.355413
14,1,983.976364,0.355413
15,1,1058.172131,0.355413
16,1,997.097397,0.346061
17,1,1018.29958,0.346061
18,1,992.536449,0.346061
19,0,,0.346061
20,0,,0.346061
21,1,1003.981972,0.346061
22,1,967.513275,0.346061
23,1,1037.712669,0.346061
24,0,,0.322043
25,1,1020.613098,0.322043
26,1,1053.553867,0.322043
27,0,,0.322043
28,1,1027.332592,0.322043
29,1,1044.927883,0.322043
30,1,1030.139351,0.322043
31,1,1102.359772,0.322043
32,1,1045.858288,0.33292
33,1,1085.461235,0.33292
34,1,1043.576717,0.33292
35,1,1022.540855,0.33292
36,1,1098.424053,0.33292
37,1,968.812656,0.33292
38,1,971.511841,0.33292
39,1,1122.528172,0.33292
40,1,1007.581711,0.348256
41,1,939.827538,0.348256
42,1,1021.308041,0.348256
43,1,1046.12112,0.348256
44,1,936.333752,0.348256
45,1,968.204212,0.348256
46,1,1049.331474,0.348256
47,1,946.079063,0.348256
48,1,1016.576576,0.337499
49,1,1022.067451,0.337499
50,1,1093.78767,0.337499
51,1,1042.779064,0.337499
52,1,1108.563519,0.337499
53,1,963.778973,0.337499
54,1,1062.341976,0.337499
55,1,1073.745728,0.337499
56,1,1049.645424,0.317554
57,1,914.721584,0.317554
58,0,,0.317554
59,1,1007.239819,0.317554
60,1,987.647533,0.317554
61,1,991.307163,0.317554
62,1,999.098301,0.317554
63,1,1133.306026,0.317554
64,1,1032.009411,0.346723
65,0,,0.346723
66,1,967.714977,0.346723
67,1,1054.51622,0.346723
68,1,1019.182682,0.346723
69,1,1001.080322,0.346723
70,1,1040.988541,0.346723
71,1,1023.798275,0.346723
72,1,1031.269073,0.339779
73,1,1032.424927,0.339779
74,1,961.043358,0.339779
75,1,1013.291645,0.339779
76,1,1013.830757,0.339779
77,1,964.990425,0.339779
78,1,1047.885895,0.339779
79,1,950.934505,0.339779
80,1,912.234974,0.347418
81,1,1026.202297,0.347418
82,0,,0.347418
83,1,994.135857,0.347418
84,1,1082.213783,0.347418
85,1,989.800549,0.347418
86,1,1061.951828,0.347418
87,1,986.886215,0.347418
88,0,,0.335282
89,1,960.9972,0.335282
90,1,998.070812,0.335282
91,1,1033.866405,0.335282
92,1,1053.841591,0.335282
93,1,1099.052906,0.335282
94,1,1080.741882,0.335282
95,1,994.09008,0.335282
96,1,949.799442,0.351919
97,0,,0.351919
98,1,1012.541485,0.351919
99,1,992.057896,0.351919
100,1,1065.704441,0.351919
101,1,1101.182938,0.351919
102,1,1043.661404,0.351919
103,1,1030.156803,0.351919
104,1,1093.909359,0.350362
105,1,1010.838985,0.350362
106,1,994.842911,0.350362
107,1,976.512146,0.350362
108,0,,0.350362
109,1,1078.109646,0.350362
110,1,993.403721,0.350362
111,1,997.917557,0.350362
112,1,913.410759,0.345592
113,0,,0.345592
114,1,1038.717175,0.345592
115,1,1022.350502,0.345592
116,1,1059.296608,0.345592
117,1,1041.74118,0.345592
118,1,1016.862679,0.345592
119,1,1030.27668,0.345592
120,1,1115.715981,0.353282
121,1,991.956902,0.353282
122,1,1036.277485,0.353282
123,0,,0.353282
124,1,954.454994,0.353282
125,1,1058.438301,0.353282
126,1,992.729568,0.353282
127,1,1121.169662,0.353282
128,1,1029.264355,0.353153
129,1,1059.916878,0.353153
130,1,1013.193417,0.353153
131,1,1062.413692,0.353153
132,1,1056.739521,0.353153
133,1,1078.420067,0.353153
134,1,878.786182,0.353153
135,1,1064.016438,0.353153
136,1,996.737671,0.338655
137,1,1023.208904,0.338655
138,1,1024.731541,0.338655
139,1,1027.010441,0.338655
140,1,963.549995,0.338655
141,1,967.884636,0.338655
142,1,1071.989059,0.338655
143,1,1021.385098,0.338655
144,1,1046.957779,0.354941
145,1,1121.199703,0.354941
146,0,,0.354941
147,1,983.64706,0.354941
148,1,934.873772,0.354941
149,0,,0.354941
150,1,1078.676987,0.354941
151,1,1068.148232,0.354941
152,1,1101.197529,0.353727
153,1,1005.353832,0.353727
154,0,,0.353727
155,1,964.312744,0.353727
156,1,1004.286861,0.353727
157,1,951.966667,0.353727
158,0,,0.353727
159,1,1049.068546,0.353727
160,1,991.545486,0.34637
161,1,1117.432213,0.34637
162,1,1082.555866,0.34637
163,0,,0.34637
164,1,999.249077,0.34637
165,1,1050.901699,0.34637
166,1,992.950058,0.34637
167,1,1019.465542,0.34637
168,0,,0.343494
169,1,1100.13752,0.343494
170,1,1011.808205,0.343494
171,1,1105.309391,0.343494
172,1,989.133453,0.343494
173,1,1021.54541,0.343494
174,1,907.048988,0.343494
175,1,862.437057,0.343494
176,1,1015.511608,0.346247
177,1,1076.597309,0.346247
178,1,981.197262,0.346247
179,1,1057.883072,0.346247
180,1,1034.36203,0.346247
181,1,1027.199554,0.346247
182,1,1157.359695,0.346247
183,1,970.00761,0.346247
184,1,999.989223,0.354184
185,1,942.028713,0.354184
186,1,962.499142,0.354184
187,1,1030.9021,0.354184
188,1,1117.538071,0.354184
189,1,1091.478634,0.354184
190,1,1019.752979,0.354184
191,1,1050.128555,0.354184
192,1,1009.339714,0.316565
193,1,1117.391205,0.316565
194,1,1035.684872,0.316565
195,1,1026.237106,0.316565
196,1,998.84634,0.316565
197,0,,0.316565
198,1,945.351887,0.316565
199,1,1041.273117,0.316565
200,1,998.801041,0.353484
201,1,1049.802017,0.353484
202,1,1014.415932,0.353484
203,1,1165.7691,0.353484
204,1,1041.093063,0.353484
205,1,1009.676361,0.353484
206,1,1080.48954,0.353484
207,1,935.824966,0.353484
208,1,1030.930519,0.347016
209,1,924.240112,0.347016
210,1,1056.044292,0.347016
211,1,1000.267601,0.347016
212,1,921.958637,0.347016
213,1,1001.865768,0.347016
214,1,1081.282043,0.347016
215,0,,0.347016
216,1,1002.980518,0.348781
217,0,,0.348781
218,1,960.398293,0.348781
219,1,1003.012466,0.348781
220,1,1020.393085,0.348781
221,1,1073.57235,0.348781
222,0,,0.348781
223,1,1000.352001,0.348781
224,1,1102.962017,0.344249
225,1,966.934681,0.344249
226,1,1065.069389,0.344249
227,1,1062.156963,0.344249
228,1,972.005939,0.344249
229,1,1009.668636,0.344249
230,1,1018.715954,0.344249
231,1,1011.989403,0.344249
232,1,928.449821,0.316343
233,1,991.97607,0.316343
234,0,,0.316343
235,1,1010.377502,0.316343
236,1,1007.849026,0.316343
237,1,957.350731,0.316343
238,1,994.65189,0.316343
239,1,980.150127,0.316343
240,1,1062.65316,0.349665
241,1,1018.868542,0.349665
242,1,1060.704422,0.349665
243,1,1018.490314,0.349665
244,1,1021.946144,0.349665
245,1,1005.962753,0.349665
246,1,960.452652,0.349665
247,1,1007.12986,0.349665
248,1,959.441853,0.355127
249,1,916.963768,0.355127
250,1,987.739944,0.355127
251,1,995.437527,0.355127
252,1,1040.682316,0.355127
253,1,1026.25351,0.355127
254,1,1023.274612,0.355127
255,1,1072.749043,0.355127
256,1,1087.960434,0.3516
257,1,1073.326778,0.3516
258,1,1012.652779,0.3516
259,1,991.905689,0.3516
260,1,1000.26989,0.3516
261,1,1088.596821,0.3516
262,1,1036.490726,0.3516
263,1,1099.536133,0.3516
264,1,970.398998,0.35444
265,1,1060.187912,0.35444
266,1,1026.881695,0.35444
267,1,1024.610901,0.35444
268,1,1025.314236,0.35444
269,0,,0.35444
270,1,983.079624,0.35444
271,1,1040.321445,0.35444
272,0,,0.351628
273,1,1039.141273,0.351628
274,1,966.024494,0.351628
275,1,1025.736904,0.351628
276,1,945.711422,0.351628
277,1,971.506691,0.351628
278,1,1001.02272,0.351628
279,1,1020.149517,0.351628
280,1,1126.144028,0.357491
281,1,1093.214417,0.357491
282,1,1068.854713,0.357491
283,1,1068.078804,0.357491
284,1,1013.544369,0.357491
285,1,1074.166679,0.357491
286,1,1027.867508,0.357491
287,1,986.984158,0.357491
288,1,937.54406,0.343125
289,1,965.646076,0.343125
290,1,1061.845016,0.343125
291,1,994.021797,0.343125
292,1,968.334866,0.343125
293,1,1017.283916,0.343125
294,1,1044.262981,0.343125
295,1,1053.223801,0.343125
296,1,1042.144871,0.346416
297,1,1029.073811,0.346416
298,1,984.285831,0.346416
299,1,1065.834141,0.346416
300,1,1071.615505,0.346416
301,1,996.445751,0.346416
302,1,1049.97015,0.346416
303,1,1085.832787,0.346416
304,1,1042.230606,0.358117
305,1,1048.596287,0.358117
306,0,,0.358117
307,1,957.314301,0.358117
308,1,1081.921101,0.358117
309,1,1090.903282,0.358117
