instance,feasibility,objective,runtime
0,1,983.537006,0.395766
1,1,1101.666069,0.395766
2,1,1033.507442,0.395766
3,1,1076.572037,0.395766
4,1,1181.887722,0.395766
5,1,1134.679031,0.395766
6,1,1034.228992,0.395766
7,0,,0.395766
8,1,1064.886665,0.404907
9,0,,0.404907
10,1,983.625603,0.404907
11,1,1087.645149,0.404907
12,1,978.985882,0.404907
13,1,1021.982574,0.404907
14,1,986.650753,0.404907
15,0,,0.404907
16,1,1011.832333,0.406856
17,1,1043.276215,0.406856
18,1,1009.394741,0.406856
19,0,,0.406856
20,0,,0.406856
21,1,1037.390041,0.406856
22,1,1010.953999,0.406856
23,1,1033.849812,0.406856
24,0,,0.411127
25,1,1053.274727,0.411127
26,1,1098.809338,0.411127
27,0,,0.411127
28,1,1076.947498,0.411127
29,1,1066.269684,0.411127
30,1,1026.449394,0.411127
31,1,1107.225609,0.411127
32,1,1033.550644,0.406462
33,1,1096.415806,0.406462
34,1,1077.926731,0.406462
35,1,1000.159931,0.406462
36,1,1123.776913,0.406462
37,1,1007.026291,0.406462
38,1,988.720894,0.406462
39,0,,0.406462
40,1,1015.944004,0.376467
41,1,900.108814,0.376467
42,1,1035.94141,0.376467
43,1,1066.312122,0.376467
44,1,918.496037,0.376467
45,1,936.696625,0.376467
46,1,1133.54435,0.376467
47,1,968.171597,0.376467
48,1,1011.755753,0.405902
49,1,1016.986275,0.405902
50,0,,0.405902
51,1,1049.626446,0.405902
52,1,1109.959316,0.405902
53,1,969.097519,0.405902
54,1,1031.880188,0.405902
55,1,1064.917469,0.405902
56,1,1017.440605,0.414352
57,1,903.77636,0.414352
58,0,,0.414352
59,0,,0.414352
60,1,990.600777,0.414352
61,1,1004.910278,0.414352
62,1,1032.931137,0.414352
63,1,1046.978855,0.414352
64,1,1020.877266,0.411245
65,0,,0.411245
66,1,994.085121,0.411245
67,1,1082.359695,0.411245
68,1,1033.510494,0.411245
69,1,978.094673,0.411245
70,1,1031.333828,0.411245
71,1,1045.411491,0.411245
72,1,1055.933475,0.383354
73,1,1047.233486,0.383354
74,1,952.574539,0.383354
75,1,1044.361115,0.383354
76,1,1043.400955,0.383354
77,1,977.659607,0.383354
78,1,1036.684895,0.383354
79,1,943.799686,0.383354
80,1,898.863029,0.405985
81,1,1039.359188,0.405985
82,1,1005.195618,0.405985
83,1,1005.013752,0.405985
84,1,1070.580578,0.405985
85,1,996.123123,0.405985
86,1,1075.361919,0.405985
87,1,978.786755,0.405985
88,0,,0.414432
89,1,982.909966,0.414432
90,1,1023.429394,0.414432
91,1,1022.359085,0.414432
92,1,1060.403919,0.414432
93,1,1095.691395,0.414432
94,0,,0.414432
95,0,,0.414432
96,1,960.657406,0.399299
97,1,1058.107662,0.399299
98,1,1056.769466,0.399299
99,1,990.070152,0.399299
100,0,,0.399299
101,1,1094.713402,0.399299
102,1,1052.262115,0.399299
103,1,1028.898716,0.399299
104,1,1082.903194,0.42059
105,1,1001.152706,0.42059
106,1,1009.412575,0.42059
107,1,1002.818775,0.42059
108,0,,0.42059
109,1,1082.579327,0.42059
110,1,983.725929,0.42059
111,1,1060.974216,0.42059
112,1,973.852062,0.414832
113,0,,0.414832
114,1,1071.677113,0.414832
115,1,1036.191177,0.414832
116,1,1061.474991,0.414832
117,1,1044.215584,0.414832
118,0,,0.414832
119,1,1041.219139,0.414832
120,1,1096.936607,0.390708
121,1,1001.40686,0.390708
122,1,1070.661831,0.390708
123,0,,0.390708
124,1,960.05888,0.390708
125,1,1089.126587,0.390708
126,1,1014.671803,0.390708
127,0,,0.390708
128,1,1038.576126,0.403169
129,1,1051.818657,0.403169
130,1,1009.022713,0.403169
131,1,1073.630905,0.403169
132,1,1103.144646,0.403169
133,1,1066.564655,0.403169
134,1,924.045086,0.403169
135,1,1067.506218,0.403169
136,0,,0.380244
137,1,1023.943806,0.380244
138,1,995.424461,0.380244
139,1,1070.412731,0.380244
140,1,994.344711,0.380244
141,1,977.674484,0.380244
142,1,1084.90963,0.380244
143,1,1027.336216,0.380244
144,1,1097.729301,0.397876
145,1,1118.190384,0.397876
146,1,1022.075272,0.397876
147,1,959.831142,0.397876
148,1,994.880676,0.397876
149,0,,0.397876
150,1,1110.220623,0.397876
151,1,1047.559071,0.397876
152,1,1113.385582,0.404312
153,1,1002.812099,0.404312
154,1,1053.86076,0.404312
155,1,999.202156,0.404312
156,1,1007.171345,0.404312
157,1,947.617245,0.404312
158,1,1038.999939,0.404312
159,1,1046.723557,0.404312
160,1,980.129147,0.399167
161,1,1097.483253,0.399167
162,1,1078.441906,0.399167
163,1,1073.95401,0.399167
164,1,1002.342415,0.399167
165,1,1082.319069,0.399167
166,1,996.433735,0.399167
167,1,1005.628395,0.399167
168,0,,0.394812
169,1,1166.683388,0.394812
170,1,1042.410851,0.394812
171,1,1084.54237,0.394812
172,1,954.352283,0.394812
173,1,1021.732426,0.394812
174,1,923.404312,0.394812
175,1,877.61488,0.394812
176,1,1015.229416,0.386172
177,1,1147.72625,0.386172
178,1,987.353992,0.386172
179,1,1045.998192,0.386172
180,1,1029.688454,0.386172
181,0,,0.386172
182,1,1125.172806,0.386172
183,1,979.546261,0.386172
184,0,,0.4013
185,0,,0.4013
186,1,1014.654446,0.4013
187,1,1047.329807,0.4013
188,1,1115.935516,0.4013
189,0,,0.4013
190,1,1053.155041,0.4013
191,0,,0.4013
192,1,1012.987518,0.40574
193,1,1115.468311,0.40574
194,1,1030.737877,0.40574
195,1,1049.44458,0.40574
196,1,1020.291233,0.40574
197,1,1032.789421,0.40574
198,1,947.502804,0.40574
199,1,1078.919029,0.40574
200,1,1026.814079,0.396584
201,1,1052.531624,0.396584
202,1,1091.00666,0.396584
203,0,,0.396584
204,0,,0.396584
205,1,1043.096638,0.396584
206,1,1067.274761,0.396584
207,1,990.587234,0.396584
208,1,1027.87714,0.40611
209,1,926.541042,0.40611
210,1,1066.967773,0.40611
211,1,1015.404701,0.40611
212,1,948.381901,0.40611
213,1,1126.375771,0.40611
214,0,,0.40611
215,1,1058.001709,0.40611
216,1,1030.866051,0.41022
217,0,,0.41022
218,1,982.970047,0.41022
219,1,990.382385,0.41022
220,0,,0.41022
221,1,1063.200092,0.41022
222,1,1019.260788,0.41022
223,1,993.135738,0.41022
224,1,1099.29266,0.388674
225,1,982.974339,0.388674
226,1,1066.209316,0.388674
227,1,1121.602631,0.388674
228,1,955.419731,0.388674
229,1,1030.461884,0.388674
230,1,1018.942738,0.388674
231,1,1015.440464,0.388674
232,1,972.632313,0.404121
233,1,1049.41597,0.404121
234,0,,0.404121
235,1,1067.198849,0.404121
236,1,1032.812309,0.404121
237,1,940.536308,0.404121
238,1,1027.470493,0.404121
239,1,1006.197166,0.404121
240,1,1054.008675,0.413157
241,1,1023.529339,0.413157
242,1,1093.602848,0.413157
243,1,1037.319374,0.413157
244,1,1019.699478,0.413157
245,1,1020.986748,0.413157
246,1,945.335197,0.413157
247,1,1070.370674,0.413157
248,1,985.878086,0.396183
249,1,923.246098,0.396183
250,1,1033.848476,0.396183
251,1,982.449627,0.396183
252,1,1049.0798,0.396183
253,1,1016.037083,0.396183
254,1,1025.339508,0.396183
255,1,1045.565128,0.396183
256,1,1077.107334,0.381833
257,1,1096.166229,0.381833
258,1,999.093056,0.381833
259,1,1012.382412,0.381833
260,1,1010.622883,0.381833
261,0,,0.381833
262,1,1063.599682,0.381833
263,1,1108.062172,0.381833
264,1,976.268101,0.386536
265,1,1096.657372,0.386536
266,0,,0.386536
267,1,1065.786266,0.386536
268,1,1067.785454,0.386536
269,0,,0.386536
270,1,996.821308,0.386536
271,1,1059.025383,0.386536
272,0,,0.412168
273,1,1107.246399,0.412168
274,1,972.560787,0.412168
275,1,1010.545444,0.412168
276,1,961.748505,0.412168
277,1,986.144161,0.412168
278,1,1020.091629,0.412168
279,1,1010.96077,0.412168
280,0,,0.407514
281,1,1108.01897,0.407514
282,1,1066.583633,0.407514
283,1,1086.074448,0.407514
284,1,1019.67411,0.407514
285,1,1069.998646,0.407514
286,1,1081.489086,0.407514
287,1,993.162346,0.407514
288,1,944.815445,0.399429
289,1,988.019276,0.399429
290,1,1050.79155,0.399429
291,1,1019.393158,0.399429
292,1,1014.650917,0.399429
293,1,1007.572556,0.399429
294,0,,0.399429
295,1,1094.968128,0.399429
296,1,1084.582996,0.388892
297,1,1091.650009,0.388892
298,1,990.037823,0.388892
299,1,1083.529663,0.388892
300,1,1099.689198,0.388892
301,1,1018.657875,0.388892
302,1,1076.416492,0.388892
303,0,,0.388892
304,1,1050.932312,0.40738
305,1,1070.819378,0.40738
306,0,,0.40738
307,1,975.982189,0.40738
308,1,1101.212311,0.40738
309,0,,0.40738
310,1,1020.228863,0.40738
311,1,1030.758953,0.40738
312,1,1023.672485,0.409973
313,1,1014.402294,0.409973
314,1,1006.288719,0.409973
315,1,1054.415607,0.409973
316,1,950.885582,0.409973
317,1,1082.068443,0.409973
318,0,,0.409973
319,1,1028.762436,0.409973
320,1,1013.47456,0.405292
321,1,1054.831982,0.405292
322,1,1042.870426,0.405292
323,1,1032.934284,0.405292
324,1,1021.827888,0.405292
325,1,1084.874535,0.405292
326,1,1019.554901,0.405292
327,1,1075.975037,0.405292
328,0,,0.408821
329,1,1029.390335,0.408821
330,0,,0.408821
331,1,981.742477,0.408821
332,1,1050.919533,0.408821
333,1,1047.178745,0.408821
334,1,1049.240398,0.408821
335,1,1044.535732,0.408821
336,0,,0.399363
337,1,1132.598209,0.399363
338,1,1015.36808,0.399363
339,1,1018.601131,0.399363
340,1,1057.312012,0.399363
341,1,981.699944,0.399363
342,1,1069.683933,0.399363
343,1,956.857777,0.399363
344,1,985.686684,0.419988
345,1,1009.244633,0.419988
346,1,1109.764194,0.419988
347,1,1019.730949,0.419988
348,1,985.649204,0.419988
349,1,950.492573,0.419988
350,0,,0.419988
351,1,1061.504078,0.419988
352,1,1097.604656,0.409724
353,1,957.810783,0.409724
354,1,1098.864555,0.409724
355,1,981.360149,0.409724
356,0,,0.409724
357,0,,0.409724
358,1,1132.985306,0.409724
359,1,989.457512,0.409724
360,1,1087.901783,0.409286
361,1,1134.431267,0.409286
362,1,974.616051,0.409286
363,1,1037.298393,0.409286
364,0,,0.409286
365,1,1150.871658,0.409286
366,1,1019.686508,0.409286
367,1,1028.458595,0.409286
368,1,1044.33794,0.414487
369,1,1016.464329,0.414487
370,1,985.307693,0.414487
371,1,1051.088619,0.414487
372,1,1068.645668,0.414487
373,1,1073.565865,0.414487
374,1,1064.586544,0.414487
375,1,999.770355,0.414487
376,1,991.13903,0.389467
377,1,1019.766903,0.389467
378,1,1056.220913,0.389467
379,1,939.480209,0.389467
380,1,1018.572712,0.389467
381,1,1044.125748,0.389467
382,1,987.788582,0.389467
383,1,1017.052174,0.389467
384,1,1108.291435,0.399168
385,1,1110.302544,0.399168
386,1,1072.489738,0.399168
387,1,976.255608,0.399168
388,1,1078.592491,0.399168
389,0,,0.399168
390,1,1040.600204,0.399168
391,1,1158.860683,0.399168
392,0,,0.416072
393,1,1058.555889,0.416072
394,1,1058.088493,0.416072
395,1,968.448544,0.416072
396,1,1064.532757,0.416072
397,0,,0.416072
398,1,1014.777279,0.416072
399,1,1017.066956,0.416072
400,1,978.367615,0.410535
401,1,1065.613079,0.410535
402,0,,0.410535
403,1,1062.009525,0.410535
404,1,1038.247299,0.410535
405,1,1006.859112,0.410535
406,1,966.552162,0.410535
407,1,1043.021393,0.410535
408,1,994.112968,0.41349
409,1,1009.951878,0.41349
410,1,1001.809025,0.41349
411,1,904.622841,0.41349
412,1,1013.981152,0.41349
413,1,1060.606575,0.41349
414,1,1031.676006,0.41349
415,1,1071.935463,0.41349
416,0,,0.411353
417,1,1022.058487,0.411353
418,1,1031.573772,0.411353
419,1,990.224838,0.411353
420,1,1014.02874,0.411353
421,1,998.958874,0.411353
422,1,1099.70541,0.411353
423,1,1030.742931,0.411353
424,1,1049.740601,0.417826
425,1,969.36245,0.417826
426,1,1062.206268,0.417826
427,1,1052.81601,0.417826
428,1,990.978813,0.417826
429,1,996.06781,0.417826
430,1,1096.938801,0.417826
431,1,1085.195923,0.417826
432,1,1057.559967,0.412019
433,1,979.424095,0.412019
434,0,,0.412019
435,1,960.827732,0.412019
436,1,1002.220345,0.412019
437,1,983.701992,0.412019
438,0,,0.412019
439,1,1017.274952,0.412019
440,1,1041.776371,0.412647
441,1,918.092728,0.412647
442,1,930.989456,0.412647
443,1,1078.297997,0.412647
444,1,1076.610756,0.412647
445,1,964.525032,0.412647
446,1,978.488255,0.412647
447,1,986.650085,0.412647
448,0,,0.422323
449,1,1051.910973,0.422323
450,1,1031.28643,0.422323
451,1,1035.033607,0.422323
452,1,947.310162,0.422323
453,0,,0.422323
454,1,1110.758209,0.422323
455,1,958.84304,0.422323
456,1,1021.816158,0.411499
457,1,1124.452305,0.411499
458,1,1010.840034,0.411499
459,1,966.22448,0.411499
460,0,,0.411499
461,1,1015.42902,0.411499
462,1,1008.648586,0.411499
463,1,1041.365623,0.411499
464,1,1018.76936,0.416281
465,0,,0.416281
466,1,994.241142,0.416281
467,1,1085.267067,0.416281
468,1,996.18969,0.416281
469,1,1098.262024,0.416281
470,1,976.666832,0.416281
471,0,,0.416281
472,1,939.512253,0.411463
473,1,985.538387,0.411463
474,1,1024.313831,0.411463
475,1,1048.526001,0.411463
476,1,967.689323,0.411463
477,1,1028.155994,0.411463
478,1,1011.032486,0.411463
479,1,1065.420246,0.411463
480,1,1037.840271,0.414518
481,1,1079.068661,0.414518
482,1,1067.840576,0.414518
483,1,1032.130337,0.414518
484,1,994.745731,0.414518
485,1,1138.196945,0.414518
486,1,1033.363342,0.414518
487,1,935.751343,0.414518
488,1,1115.915966,0.399273
489,1,1007.644367,0.399273
490,1,1014.700699,0.399273
491,1,956.624603,0.399273
492,1,968.44368,0.399273
493,1,993.988228,0.399273
494,1,931.373215,0.399273
495,1,1029.651928,0.399273
496,1,992.999268,0.408825
497,1,969.859028,0.408825
498,1,1062.658215,0.408825
499,1,974.764347,0.408825
500,1,946.111393,0.408825
501,1,1103.926659,0.408825
502,1,961.248493,0.408825
503,1,1006.753445,0.408825
504,1,1035.002422,0.403627
505,1,1023.093319,0.403627
506,1,1026.904392,0.403627
507,1,1030.477047,0.403627
508,1,1086.627007,0.403627
509,1,998.328781,0.403627
510,1,1061.487103,0.403627
511,1,1106.557846,0.403627
512,1,1028.283978,0.397349
513,1,988.966465,0.397349
514,1,1008.922577,0.397349
515,1,981.689739,0.397349
516,1,1086.861134,0.397349
517,1,1181.322193,0.397349
518,1,1052.529812,0.397349
519,1,1128.555202,0.397349
520,1,1023.696613,0.398584
521,1,998.066616,0.398584
522,1,1021.738529,0.398584
523,1,1034.65023,0.398584
524,1,1105.882931,0.398584
525,1,1022.586536,0.398584
526,1,1069.382763,0.398584
527,1,1053.724003,0.398584
528,1,910.556126,0.408703
529,1,975.507545,0.408703
530,1,1051.79615,0.408703
531,1,1083.813572,0.408703
532,0,,0.408703
533,1,1000.812721,0.408703
534,1,1074.700069,0.408703
535,1,997.263527,0.408703
536,1,1114.514732,0.414302
537,1,1031.883621,0.414302
538,0,,0.414302
539,1,991.113377,0.414302
540,1,1044.029713,0.414302
541,1,917.325687,0.414302
542,1,1016.303062,0.414302
543,0,,0.414302
544,1,985.791588,0.414224
545,1,995.97187,0.414224
546,1,1043.448639,0.414224
547,1,1076.770592,0.414224
548,1,957.575798,0.414224
549,0,,0.414224
550,1,921.473122,0.414224
551,1,1025.779533,0.414224
552,1,992.606449,0.417126
553,1,1067.08107,0.417126
554,0,,0.417126
555,0,,0.417126
556,1,1094.484997,0.417126
557,1,1017.408562,0.417126
558,1,1064.661407,0.417126
559,1,1021.017742,0.417126
560,1,991.568375,0.402895
561,1,1006.135273,0.402895
562,1,1016.268349,0.402895
563,1,1063.59396,0.402895
564,1,1070.901775,0.402895
565,1,963.494205,0.402895
566,1,1052.473545,0.402895
567,1,983.341408,0.402895
568,1,995.092964,0.411662
569,1,1083.742428,0.411662
570,1,986.631393,0.411662
571,1,996.424198,0.411662
572,1,1023.872375,0.411662
573,1,1010.017872,0.411662
574,1,1014.752197,0.411662
575,1,1112.878418,0.411662
576,1,933.81052,0.40089
577,1,958.767891,0.40089
578,1,1060.292435,0.40089
579,1,1050.554085,0.40089
580,1,961.554337,0.40089
581,1,934.403229,0.40089
582,1,981.439686,0.40089
583,1,996.405411,0.40089
584,1,1013.80806,0.403147
585,1,957.687759,0.403147
586,1,973.649216,0.403147
587,1,1036.463737,0.403147
588,1,1131.946659,0.403147
589,1,1002.731037,0.403147
590,1,1006.560802,0.403147
591,1,984.387684,0.403147
592,1,975.313854,0.407392
593,1,1017.200089,0.407392
594,1,1071.737576,0.407392
595,1,1021.281338,0.407392
596,1,1018.358326,0.407392
597,1,1084.03616,0.407392
598,0,,0.407392
599,1,1017.694569,0.407392
600,1,1078.197861,0.39179
601,1,1032.396603,0.39179
602,1,1001.218224,0.39179
603,1,1054.453564,0.39179
604,1,1101.965904,0.39179
605,1,970.152187,0.39179
606,1,1000.010014,0.39179
607,1,1045.713711,0.39179
608,1,1001.210594,0.392921
609,1,1046.465778,0.392921
610,1,987.556171,0.392921
611,1,1013.87434,0.392921
612,1,1105.925941,0.392921
613,0,,0.392921
614,1,995.749378,0.392921
615,1,957.374382,0.392921
616,1,990.449238,0.402302
617,1,1043.724155,0.402302
618,1,1046.975422,0.402302
619,1,983.137512,0.402302
620,1,1001.267242,0.402302
621,1,1124.224472,0.402302
622,0,,0.402302
623,1,1033.463573,0.402302
624,1,1097.912979,0.403611
625,1,1101.22261,0.403611
626,1,1097.147274,0.403611
627,1,1086.495209,0.403611
628,1,1066.026306,0.403611
629,0,,0.403611
630,1,1030.001354,0.403611
631,1,954.232502,0.403611
632,1,1087.834072,0.408794
633,1,1068.204308,0.408794
634,0,,0.408794
635,1,1079.908848,0.408794
636,1,1154.103279,0.408794
637,1,1087.469101,0.408794
638,0,,0.408794
639,1,1059.845734,0.408794
640,1,1081.202126,0.406813
641,1,976.137257,0.406813
642,0,,0.406813
643,1,954.451275,0.406813
644,0,,0.406813
645,1,1056.606865,0.406813
646,1,1046.014595,0.406813
647,1,1051.011848,0.406813
648,0,,0.403732
649,1,1034.788609,0.403732
650,1,1053.959465,0.403732
651,1,1033.788586,0.403732
652,1,1048.826408,0.403732
653,0,,0.403732
654,1,1014.377499,0.403732
655,1,1069.577026,0.403732
656,1,1017.103386,0.39877
657,1,979.581547,0.39877
658,1,1028.623581,0.39877
659,1,914.126873,0.39877
660,1,985.925961,0.39877
661,1,1020.528984,0.39877
662,1,991.985798,0.39877
663,1,1064.364719,0.39877
664,1,960.377884,0.400652
665,1,1093.599892,0.400652
666,1,1035.536003,0.400652
667,1,1052.6227,0.400652
668,1,1002.613449,0.400652
669,1,960.323811,0.400652
670,1,990.472221,0.400652
671,1,1065.816784,0.400652
672,1,1089.421558,0.407127
673,0,,0.407127
674,1,986.303806,0.407127
675,1,1027.702808,0.407127
676,1,1063.637352,0.407127
677,1,977.255821,0.407127
678,1,1081.893158,0.407127
679,1,1043.065166,0.407127
680,1,1072.113037,0.410634
681,1,1094.220734,0.410634
682,1,1091.956997,0.410634
683,1,997.750568,0.410634
684,1,1139.939785,0.410634
685,1,1119.318485,0.410634
686,1,1034.730625,0.410634
