instance,feasibility,objective,runtime
0,1,930.478287,0.003752
1,1,1041.610909,0.003752
2,1,987.157345,0.003752
3,1,992.790031,0.003752
4,1,1036.971092,0.003752
5,1,1072.801399,0.003752
6,1,990.724564,0.003752
7,1,976.233101,0.003752
8,1,1014.912605,0.003752
9,1,1043.866062,0.003752
10,1,949.52755,0.003752
11,1,1037.165451,0.003752
12,1,933.757591,0.003752
13,1,1003.071117,0.003752
14,1,975.050831,0.003752
15,1,1044.160461,0.003752
16,1,989.338112,0.003752
17,1,1015.401268,0.003752
18,1,972.781372,0.003752
19,1,941.338444,0.003752
20,1,1041.347504,0.003752
21,1,984.957504,0.003752
22,1,952.115631,0.003752
23,1,1015.078163,0.003752
24,0,,0.003752
25,1,1015.410995,0.003752
26,1,1023.755932,0.003752
27,1,1071.027374,0.003752
28,1,1053.901386,0.003752
29,1,1019.304752,0.003752
30,1,1007.089615,0.003752
31,1,1069.448662,0.003752
32,1,1009.51395,0.003752
33,1,1084.688759,0.003752
34,1,1053.253078,0.003752
35,1,1051.009083,0.003752
36,1,1044.817734,0.003752
37,1,944.651413,0.003752
38,1,951.796722,0.003752
39,1,1067.484665,0.003752
40,1,999.129105,0.003752
41,1,904.351234,0.003752
42,0,,0.003752
43,1,1048.95525,0.003752
44,1,908.632278,0.003752
45,1,911.068153,0.003752
46,1,1034.176159,0.003752
47,1,899.139977,0.003752
48,1,993.099976,0.003752
49,1,981.06575,0.003752
50,1,1039.740562,0.003752
51,1,1020.798492,0.003752
52,1,1064.718246,0.003752
53,1,925.714684,0.003752
54,1,998.507118,0.003752
55,1,1023.066998,0.003752
56,1,1004.072285,0.003752
57,1,882.808685,0.003752
58,1,1049.538517,0.003752
59,1,982.287693,0.003752
60,1,954.80442,0.003752
61,1,984.017944,0.003752
62,1,964.711952,0.003752
63,1,1015.868759,0.003752
64,1,995.094204,0.003752
65,1,1060.43911,0.003752
66,1,947.502708,0.003752
67,1,1014.280319,0.003752
68,1,948.554802,0.003752
69,1,931.753349,0.003752
70,1,1026.432228,0.003752
71,1,982.863426,0.003752
72,1,976.011086,0.003752
73,1,997.329807,0.003752
74,1,921.121407,0.003752
75,1,1009.824753,0.003752
76,1,1016.085529,0.003752
77,1,932.314396,0.003752
78,1,1067.452621,0.003752
79,1,931.940269,0.003752
80,1,923.394775,0.003752
81,1,1006.567669,0.003752
82,1,903.618431,0.003752
83,1,979.498672,0.003752
84,1,1044.764519,0.003752
85,1,963.729954,0.003752
86,1,1019.089794,0.003752
87,1,988.480568,0.003752
88,1,953.927803,0.003752
89,1,911.923409,0.003752
90,1,1000.598907,0.003752
91,1,1010.913467,0.003752
92,1,1012.348747,0.003752
93,1,1029.355049,0.003752
94,1,1032.739353,0.003752
95,1,930.791378,0.003752
96,1,972.865295,0.003752
97,1,1037.145233,0.003752
98,1,998.082924,0.003752
99,1,981.638432,0.003752
100,1,1041.445065,0.003752
101,1,1073.58532,0.003752
102,1,1013.018513,0.003752
103,1,979.019356,0.003752
104,1,1044.58828,0.003752
105,1,950.592422,0.003752
106,1,955.719852,0.003752
107,1,941.355705,0.003752
108,1,1015.941525,0.003752
109,1,1056.91452,0.003752
110,1,961.042023,0.003752
111,1,998.802567,0.003752
112,1,895.818329,0.003752
113,1,1047.928429,0.003752
114,1,1045.570374,0.003752
115,1,1049.407005,0.003752
116,1,1050.039196,0.003752
117,1,1031.460285,0.003752
118,1,1025.127792,0.003752
119,1,993.975735,0.003752
120,0,,0.003752
121,1,942.354202,0.003752
122,1,994.06662,0.003752
123,1,1056.880188,0.003752
124,1,929.650688,0.003752
125,1,1037.567711,0.003752
126,1,959.113121,0.003752
127,1,1060.330009,0.003752
128,1,996.416759,0.003735
129,1,986.614418,0.003735
130,1,983.817863,0.003735
131,1,1029.711437,0.003735
132,1,1012.6091,0.003735
133,1,1036.258793,0.003735
134,1,864.920998,0.003735
135,1,1023.72818,0.003735
136,1,965.496445,0.003735
137,1,972.977829,0.003735
138,1,979.8172,0.003735
139,1,984.854507,0.003735
140,1,937.888908,0.003735
141,1,954.534531,0.003735
142,1,1018.082619,0.003735
143,1,999.347496,0.003735
144,1,994.258976,0.003735
145,1,1077.482414,0.003735
146,1,986.206436,0.003735
147,1,906.415462,0.003735
148,1,903.49474,0.003735
149,0,,0.003735
150,1,1050.596428,0.003735
151,1,1016.423416,0.003735
152,1,1054.832745,0.003735
153,1,990.764999,0.003735
154,1,1026.85318,0.003735
155,1,927.547836,0.003735
156,1,958.152485,0.003735
157,1,924.052811,0.003735
158,1,1005.20668,0.003735
159,1,1007.002831,0.003735
160,1,969.607162,0.003735
161,1,1074.982452,0.003735
162,1,1033.242798,0.003735
163,1,1037.035084,0.003735
164,1,959.644222,0.003735
165,1,1021.339989,0.003735
166,1,952.45285,0.003735
167,1,1032.861423,0.003735
168,1,961.36961,0.003735
169,1,1067.148495,0.003735
170,1,1010.480309,0.003735
171,0,,0.003735
172,1,929.065609,0.003735
173,1,961.55777,0.003735
174,1,892.354774,0.003735
175,1,832.712841,0.003735
176,1,942.55867,0.003735
177,1,1045.582294,0.003735
178,1,958.163643,0.003735
179,1,1024.450302,0.003735
180,1,991.670418,0.003735
181,1,1000.309944,0.003735
182,1,1078.692532,0.003735
183,1,953.352737,0.003735
184,1,986.101151,0.003735
185,1,917.3069,0.003735
186,1,952.91338,0.003735
187,1,1011.36055,0.003735
188,1,1058.192253,0.003735
189,1,1077.834606,0.003735
190,1,984.979439,0.003735
191,1,1001.90897,0.003735
192,1,973.077774,0.003735
193,1,1053.98407,0.003735
194,1,1014.598751,0.003735
195,1,1006.28891,0.003735
196,1,1003.517246,0.003735
197,1,962.898254,0.003735
198,1,920.16964,0.003735
199,1,1027.792835,0.003735
200,1,979.033375,0.003735
201,1,1030.02243,0.003735
202,1,987.854862,0.003735
203,1,1091.404343,0.003735
204,1,1018.435478,0.003735
205,1,954.133606,0.003735
206,1,1054.361916,0.003735
207,1,901.076889,0.003735
208,1,990.686035,0.003735
209,1,913.077164,0.003735
210,1,1022.199345,0.003735
211,1,960.832977,0.003735
212,1,910.245514,0.003735
213,1,980.471039,0.003735
214,1,1032.67231,0.003735
215,1,956.876755,0.003735
216,1,990.322304,0.003735
217,1,997.807693,0.003735
218,1,950.45166,0.003735
219,1,974.626827,0.003735
220,1,999.1642,0.003735
221,1,1025.323582,0.003735
222,1,997.307205,0.003735
223,1,971.400166,0.003735
224,1,1038.681793,0.003735
225,1,951.739693,0.003735
226,1,1029.35791,0.003735
227,1,1041.894531,0.003735
228,1,949.84436,0.003735
229,1,1030.740547,0.003735
230,1,1006.53162,0.003735
231,1,986.136341,0.003735
232,1,908.359241,0.003735
233,1,963.924885,0.003735
234,1,1032.081413,0.003735
235,1,978.834152,0.003735
236,1,970.46957,0.003735
237,1,913.585758,0.003735
238,1,984.133148,0.003735
239,1,961.623383,0.003735
240,1,1005.956459,0.003735
241,1,1005.909252,0.003735
242,1,1029.047203,0.003735
243,1,992.389488,0.003735
244,1,1008.36525,0.003735
245,1,982.563114,0.003735
246,1,941.877556,0.003735
247,1,987.138844,0.003735
248,1,955.877209,0.003735
249,1,905.035782,0.003735
250,1,966.039276,0.003735
251,1,991.949081,0.003735
252,1,1022.887993,0.003735
253,1,987.272167,0.003735
254,1,1019.925499,0.003735
255,1,1029.567146,0.003735
256,1,1059.659767,0.00372
257,1,1113.159752,0.00372
258,1,969.334888,0.00372
259,1,966.390514,0.00372
260,1,962.161732,0.00372
261,1,1082.810116,0.00372
262,1,1029.793644,0.00372
263,1,1068.090534,0.00372
264,1,924.783516,0.00372
265,1,1045.860291,0.00372
266,1,1019.343376,0.00372
267,1,993.736839,0.00372
268,1,989.341354,0.00372
269,1,992.124748,0.00372
270,1,974.009514,0.00372
271,1,1002.252579,0.00372
272,1,1079.912758,0.00372
273,1,1027.999496,0.00372
274,1,1018.95504,0.00372
275,1,1000.779533,0.00372
276,1,919.694901,0.00372
277,1,951.414776,0.00372
278,1,994.186974,0.00372
279,1,980.11198,0.00372
280,1,1068.955994,0.00372
281,1,1056.395721,0.00372
282,1,1036.379337,0.00372
283,1,1038.417053,0.00372
284,1,952.456093,0.00372
285,1,1061.191559,0.00372
286,1,1017.466068,0.00372
287,1,985.882378,0.00372
288,1,905.309677,0.00372
289,1,918.977261,0.00372
290,1,975.682449,0.00372
291,1,976.918125,0.00372
292,1,937.822533,0.00372
293,1,990.459824,0.00372
294,1,1014.627361,0.00372
295,1,1016.628265,0.00372
296,1,994.789886,0.00372
297,1,995.647526,0.00372
298,1,969.859123,0.00372
299,1,1067.727089,0.00372
300,1,1031.135845,0.00372
301,1,995.568848,0.00372
302,1,1031.720161,0.00372
303,1,1062.618637,0.00372
304,1,1004.60043,0.00372
305,1,1003.810883,0.00372
306,1,1095.65897,0.00372
307,1,951.367283,0.00372
308,1,1040.858459,0.00372
309,1,1063.672638,0.00372
310,1,947.746468,0.00372
311,1,996.809006,0.00372
312,1,940.686512,0.00372
313,1,966.272163,0.00372
314,1,960.171127,0.00372
315,1,1004.001999,0.00372
316,1,953.227711,0.00372
317,1,1078.217316,0.00372
318,1,931.814766,0.00372
319,1,972.595596,0.00372
320,1,976.291084,0.00372
321,1,1010.201645,0.00372
322,1,989.351463,0.00372
323,1,988.356209,0.00372
324,1,987.180138,0.00372
325,1,1079.361725,0.00372
326,1,993.435287,0.00372
327,1,1051.379967,0.00372
328,1,1035.712147,0.00372
329,1,1005.019569,0.00372
330,1,1091.988945,0.00372
331,1,958.53672,0.00372
332,1,996.293449,0.00372
333,1,1019.695187,0.00372
334,1,981.34594,0.00372
335,1,1007.26757,0.00372
336,1,1020.669174,0.00372
337,1,1036.183357,0.00372
338,1,986.846542,0.00372
339,1,912.570763,0.00372
340,1,966.114235,0.00372
341,1,980.262566,0.00372
342,1,983.265972,0.00372
343,1,911.07235,0.00372
344,1,969.402313,0.00372
345,1,962.343502,0.00372
346,1,999.257278,0.00372
347,1,977.273369,0.00372
348,1,954.820061,0.00372
349,1,933.17318,0.00372
350,1,1047.257996,0.00372
351,1,1017.516232,0.00372
352,1,1044.118118,0.00372
353,1,931.017017,0.00372
354,1,990.971375,0.00372
355,1,922.55764,0.00372
356,1,967.410851,0.00372
357,1,1018.833351,0.00372
358,1,989.329147,0.00372
359,1,911.498451,0.00372
360,1,1019.345474,0.00372
361,1,1027.169609,0.00372
362,1,934.505653,0.00372
363,1,989.329433,0.00372
364,1,982.522106,0.00372
365,1,1112.664795,0.00372
366,1,977.702522,0.00372
367,1,992.85183,0.00372
368,1,988.623142,0.00372
369,1,985.184669,0.00372
370,1,976.639366,0.00372
371,1,1001.866722,0.00372
372,1,983.220291,0.00372
373,1,998.698044,0.00372
