instance,feasibility,objective,runtime
0,1,1071.717453,0.088901
1,1,1124.045849,0.088901
2,1,1099.731255,0.088901
3,1,1009.941006,0.088901
4,0,,0.088901
5,1,1123.795033,0.088901
6,1,1063.502979,0.088901
7,1,1121.154785,0.088901
8,1,1012.607861,0.088957
9,0,,0.088957
10,0,,0.088957
11,0,,0.088957
12,1,1118.720245,0.088957
13,1,1097.211838,0.088957
14,1,1022.662926,0.088957
15,1,1097.618198,0.088957
16,1,1069.928169,0.088952
17,0,,0.088952
18,0,,0.088952
19,0,,0.088952
20,1,1056.350899,0.088952
21,1,1134.058762,0.088952
22,1,1039.658833,0.088952
23,0,,0.088952
24,1,1086.303711,0.088942
25,1,1118.412209,0.088942
26,0,,0.088942
27,1,1018.364716,0.088942
28,1,1022.732639,0.088942
29,0,,0.088942
30,0,,0.088942
31,0,,0.088942
32,1,1018.959904,0.089077
33,1,1091.910744,0.089077
34,0,,0.089077
35,1,1058.170033,0.089077
36,1,1089.01968,0.089077
37,1,1124.541187,0.089077
38,1,1101.779842,0.089077
39,0,,0.089077
40,1,1051.355553,0.089062
41,1,1008.938313,0.089062
42,0,,0.089062
43,1,1069.697094,0.089062
44,1,1032.487869,0.089062
45,1,1050.989437,0.089062
46,1,1137.299728,0.089062
47,1,1071.738911,0.089062
48,1,1055.897236,0.089014
49,1,1066.431618,0.089014
50,1,1133.994007,0.089014
51,1,976.883125,0.089014
52,1,1128.944302,0.089014
53,1,1069.030857,0.089014
54,1,1014.54258,0.089014
55,0,,0.089014
56,0,,0.089049
57,1,1053.605366,0.089049
58,1,1111.020184,0.089049
59,1,1082.94735,0.089049
60,1,1089.551926,0.089049
61,1,1113.748264,0.089049
62,1,1092.219448,0.089049
63,1,1079.232025,0.089049
64,1,1105.597115,0.089017
65,1,1065.732384,0.089017
66,1,1086.100388,0.089017
67,1,1095.892525,0.089017
68,1,1114.198494,0.089017
69,1,1109.451103,0.089017
70,1,1093.035793,0.089017
71,0,,0.089017
72,1,1093.140507,0.088982
73,0,,0.088982
74,1,1063.123989,0.088982
75,0,,0.088982
76,0,,0.088982
77,1,1032.026672,0.088982
78,1,1048.59972,0.088982
