instance,feasibility,objective,runtime
0,1,1071.717453,0.089034
1,1,1124.045849,0.089034
2,1,1099.731255,0.089034
3,1,1009.941006,0.089034
4,0,,0.089034
5,1,1123.795033,0.089034
6,1,1063.502979,0.089034
7,1,1121.154785,0.089034
8,1,1012.607861,0.08893
9,0,,0.08893
10,0,,0.08893
11,0,,0.08893
12,1,1118.720245,0.08893
13,1,1097.211838,0.08893
14,1,1022.662926,0.08893
15,1,1097.618198,0.08893
16,1,1069.928169,0.088926
17,0,,0.088926
18,0,,0.088926
19,0,,0.088926
20,1,1056.350899,0.088926
21,1,1134.058762,0.088926
22,1,1039.658833,0.088926
23,0,,0.088926
24,1,1086.303711,0.089044
25,1,1118.412209,0.089044
26,0,,0.089044
27,1,1018.364716,0.089044
28,1,1022.732639,0.089044
29,0,,0.089044
30,0,,0.089044
31,0,,0.089044
32,1,1018.959904,0.088985
33,1,1091.910744,0.088985
34,0,,0.088985
35,1,1058.170033,0.088985
36,1,1089.01968,0.088985
37,1,1124.541187,0.088985
38,1,1101.779842,0.088985
39,0,,0.088985
40,1,1051.355553,0.088988
41,1,1008.938313,0.088988
42,0,,0.088988
43,1,1069.697094,0.088988
44,1,1032.487869,0.088988
45,1,1050.989437,0.088988
46,1,1137.299728,0.088988
47,1,1071.738911,0.088988
48,1,1055.897236,0.088988
49,1,1066.431618,0.088988
50,1,1133.994007,0.088988
51,1,976.883125,0.088988
52,1,1128.944302,0.088988
53,1,1069.030857,0.088988
54,1,1014.54258,0.088988
55,0,,0.088988
56,0,,0.089
57,1,1053.605366,0.089
58,1,1111.020184,0.089
59,1,1082.94735,0.089
60,1,1089.551926,0.089
61,1,1113.748264,0.089
62,1,1092.219448,0.089
63,1,1079.232025,0.089
64,1,1105.597115,0.088999
65,1,1065.732384,0.088999
66,1,1086.100388,0.088999
67,1,1095.892525,0.088999
68,1,1114.198494,0.088999
69,1,1109.451103,0.088999
70,1,1093.035793,0.088999
71,0,,0.088999
72,1,1093.140507,0.088945
73,0,,0.088945
74,1,1063.123989,0.088945
75,0,,0.088945
76,0,,0.088945
77,1,1032.026672,0.088945
78,1,1048.59972,0.088945
79,1,1030.15337,0.088945
80,0,,0.089058
81,0,,0.089058
82,1,1070.972252,0.089058
83,1,1070.151138,0.089058
84,1,1018.471718,0.089058
85,1,1123.245144,0.089058
86,1,1052.526474,0.089058
87,1,1030.670166,0.089058
88,1,1087.753296,0.089015
89,1,1027.500725,0.089015
90,1,1086.403656,0.089015
91,1,987.022495,0.089015
92,1,1076.161194,0.089015
93,0,,0.089015
94,0,,0.089015
95,0,,0.089015
96,1,1027.340603,0.088988
97,1,1094.90881,0.088988
98,1,1091.092396,0.088988
99,0,,0.088988
100,1,1098.29092,0.088988
101,1,1071.787262,0.088988
102,1,1010.210609,0.088988
103,1,1056.294632,0.088988
104,0,,0.088929
105,1,1072.177792,0.088929
106,1,1041.180515,0.088929
107,0,,0.088929
108,0,,0.088929
109,0,,0.088929
110,1,1079.5187,0.088929
111,0,,0.088929
112,1,1061.811066,0.08906
113,1,1052.173424,0.08906
114,1,1060.00061,0.08906
115,1,1061.04784,0.08906
116,1,1109.162712,0.08906
117,1,1059.273815,0.08906
118,0,,0.08906
119,1,1089.607716,0.08906
120,1,1080.308247,0.088988
121,0,,0.088988
122,1,1084.300995,0.088988
123,1,1061.576271,0.088988
124,0,,0.088988
125,1,1061.943436,0.088988
126,1,1103.584385,0.088988
127,1,1079.922676,0.088988
128,1,1140.026379,0.088988
129,1,1132.618904,0.088988
130,0,,0.088988
131,1,1087.444973,0.088988
132,0,,0.088988
133,1,1051.627922,0.088988
134,1,1125.820541,0.088988
135,0,,0.088988
136,1,1005.358505,0.089009
137,1,1152.685356,0.089009
138,1,1069.950485,0.089009
139,1,1081.356907,0.089009
140,1,1098.358536,0.089009
141,1,1111.632252,0.089009
142,1,1085.657501,0.089009
143,1,1074.015331,0.089009
144,1,1094.268894,0.089052
145,1,1156.139755,0.089052
146,0,,0.089052
147,1,1069.330788,0.089052
148,1,1094.829273,0.089052
149,1,1040.799904,0.089052
150,1,1075.862217,0.089052
151,1,1130.411339,0.089052
152,1,1078.095436,0.089004
153,1,1069.497585,0.089004
154,1,1060.690498,0.089004
155,0,,0.089004
156,1,1117.281914,0.089004
157,1,1071.148777,0.089004
158,1,1114.958572,0.089004
159,0,,0.089004
160,1,1044.484043,0.088984
161,0,,0.088984
162,1,1057.111359,0.088984
163,1,1131.964779,0.088984
164,1,1093.483353,0.088984
165,0,,0.088984
166,1,1096.996212,0.088984
167,1,1101.705074,0.088984
168,1,1074.473286,0.088978
169,1,1068.763065,0.088978
170,1,1111.412716,0.088978
171,1,1108.060551,0.088978
172,0,,0.088978
173,1,1128.250217,0.088978
174,0,,0.088978
175,1,1023.015881,0.088978
176,1,1035.496712,0.089018
177,1,1070.578766,0.089018
178,0,,0.089018
179,1,1056.736374,0.089018
180,1,1122.669029,0.089018
181,0,,0.089018
182,1,1170.58773,0.089018
183,1,1038.589478,0.089018
184,1,1114.003944,0.088967
185,1,1079.634476,0.088967
186,1,1134.324837,0.088967
187,1,1059.71489,0.088967
188,1,1089.988613,0.088967
189,0,,0.088967
190,1,1083.660126,0.088967
191,0,,0.088967
192,1,1080.791759,0.088977
193,1,1100.458145,0.088977
194,1,1125.830555,0.088977
195,1,1070.318222,0.088977
196,1,1075.30489,0.088977
197,1,1044.381332,0.088977
198,0,,0.088977
199,1,1106.916046,0.088977
200,0,,0.089037
201,1,1075.140572,0.089037
202,0,,0.089037
203,1,1126.310444,0.089037
204,0,,0.089037
205,1,1079.122925,0.089037
206,1,1076.454926,0.089037
207,0,,0.089037
208,1,1120.448875,0.088977
209,0,,0.088977
210,0,,0.088977
211,1,1046.086025,0.088977
212,0,,0.088977
213,0,,0.088977
214,1,1021.660233,0.088977
215,1,1120.979595,0.088977
216,1,1084.817886,0.088948
217,0,,0.088948
218,0,,0.088948
219,1,1034.434605,0.088948
220,1,1039.641094,0.088948
221,1,1064.870739,0.088948
222,1,1140.143967,0.088948
223,1,1103.72591,0.088948
224,1,1051.021004,0.08898
225,1,1097.400379,0.08898
226,1,1041.444397,0.08898
227,1,1056.779861,0.08898
228,1,1077.637577,0.08898
229,1,1009.224224,0.08898
230,1,1007.26862,0.08898
231,1,1021.636581,0.08898
232,1,1049.518776,0.089017
233,1,1002.295303,0.089017
234,0,,0.089017
235,1,1076.463318,0.089017
236,1,1140.905666,0.089017
237,0,,0.089017
238,1,1084.309006,0.089017
239,1,1063.597679,0.089017
240,1,1006.521034,0.089006
241,1,1061.477566,0.089006
242,1,1078.34301,0.089006
243,0,,0.089006
244,1,1116.20903,0.089006
245,1,1105.958843,0.089006
246,1,1070.960045,0.089006
247,1,1072.893524,0.089006
248,1,1081.335163,0.088966
249,0,,0.088966
250,1,1030.113506,0.088966
251,0,,0.088966
252,1,1057.187939,0.088966
253,1,1051.304626,0.088966
254,0,,0.088966
255,1,1113.317966,0.088966
256,1,1042.638111,0.088987
257,1,1148.321819,0.088987
258,1,1038.72261,0.088987
259,1,1107.002831,0.088987
260,1,1096.594048,0.088987
261,1,1009.041882,0.088987
262,1,1055.001831,0.088987
263,1,1120.176315,0.088987
264,0,,0.089039
265,1,1105.981731,0.089039
266,1,1078.975487,0.089039
267,1,1051.321316,0.089039
268,1,1039.792347,0.089039
269,0,,0.089039
270,1,1079.592896,0.089039
271,1,1059.173107,0.089039
272,0,,0.088798
273,0,,0.088798
274,0,,0.088798
275,0,,0.088798
276,1,1132.275295,0.088798
277,1,1103.05233,0.088798
278,1,1082.445621,0.088798
279,0,,0.088798
280,1,1039.082527,0.088784
281,1,1100.626659,0.088784
282,0,,0.088784
283,1,1058.0966,0.088784
284,1,987.013149,0.088784
285,1,1012.996483,0.088784
286,1,1077.966499,0.088784
287,1,1064.688301,0.088784
288,1,1065.663433,0.089007
289,1,1032.389069,0.089007
290,1,1098.81916,0.089007
291,1,1098.875332,0.089007
292,1,1080.499172,0.089007
293,1,1069.60516,0.089007
294,1,1014.18581,0.089007
295,1,1093.694496,0.089007
296,1,1023.841286,0.089256
297,0,,0.089256
298,0,,0.089256
299,1,1065.47842,0.089256
300,1,1063.992405,0.089256
301,1,1009.555149,0.089256
302,1,1093.865299,0.089256
303,0,,0.089256
304,0,,0.088784
305,0,,0.088784
306,0,,0.088784
307,0,,0.088784
308,1,1063.912106,0.088784
309,1,1000.826168,0.088784
310,1,1058.952332,0.088784
311,1,1090.23838,0.088784
312,1,1031.15139,0.089011
313,1,970.780277,0.089011
314,1,1111.518192,0.089011
315,1,1116.413689,0.089011
316,1,1140.001583,0.089011
317,1,1126.560116,0.089011
318,1,1085.856247,0.089011
319,1,1068.305016,0.089011
320,1,1104.424191,0.089043
321,1,1094.800949,0.089043
322,1,1069.903374,0.089043
323,1,1109.13353,0.089043
324,1,1046.823025,0.089043
325,1,1118.310165,0.089043
326,1,1089.845467,0.089043
327,1,1056.252766,0.089043
328,1,1134.517097,0.089
329,1,1100.306034,0.089
330,1,1031.902409,0.089
331,1,1005.347347,0.089
332,1,1104.150867,0.089
333,1,1025.322151,0.089
334,1,1000.635719,0.089
335,1,1003.450012,0.089
336,1,1103.501511,0.088756
337,1,1100.175095,0.088756
338,0,,0.088756
339,1,1083.185387,0.088756
340,1,1054.342842,0.088756
341,1,1079.288101,0.088756
342,1,1109.147644,0.088756
343,1,1055.958652,0.088756
344,1,1004.004192,0.088992
345,1,1070.004654,0.088992
346,1,1052.895737,0.088992
347,1,1045.532513,0.088992
348,1,1104.965401,0.088992
349,1,1104.393005,0.088992
350,1,1078.498077,0.088992
351,1,1064.356899,0.088992
352,1,1041.376877,0.089544
353,1,1097.689819,0.089544
354,1,1087.370872,0.089544
355,1,1135.067081,0.089544
356,0,,0.089544
357,1,1062.063122,0.089544
358,1,1055.554104,0.089544
359,1,1057.34787,0.089544
360,1,1060.070038,0.088846
361,1,1104.952621,0.088846
362,1,1059.49564,0.088846
363,1,1072.906303,0.088846
364,1,1102.85387,0.088846
365,0,,0.088846
366,1,1153.163433,0.088846
367,0,,0.088846
368,1,1000.349426,0.088998
369,1,1142.45224,0.088998
370,1,1118.882561,0.088998
371,1,1000.542545,0.088998
372,1,1088.748837,0.088998
373,1,1059.282112,0.088998
374,1,1132.849693,0.088998
375,0,,0.088998
376,0,,0.089509
377,1,1144.71817,0.089509
378,1,1059.525776,0.089509
379,1,1115.401173,0.089509
380,0,,0.089509
381,1,1077.851677,0.089509
382,1,1129.744053,0.089509
383,1,1076.701927,0.089509
384,1,1087.623596,0.088852
385,1,1008.418846,0.088852
386,1,1026.357937,0.088852
387,0,,0.088852
388,1,1135.922432,0.088852
389,1,1081.47583,0.088852
390,1,1108.758545,0.088852
391,1,1111.788177,0.088852
392,1,1112.953758,0.08894
393,1,1120.384312,0.08894
394,0,,0.08894
395,1,1088.076878,0.08894
396,1,1058.794785,0.08894
397,0,,0.08894
398,1,1070.350361,0.08894
399,1,1111.490345,0.08894
400,1,1088.064003,0.088796
401,1,1120.419121,0.088796
402,1,1068.305492,0.088796
403,1,1074.901295,0.088796
404,1,1086.399937,0.088796
405,1,1104.581738,0.088796
406,0,,0.088796
407,1,1016.400623,0.088796
408,1,1090.660954,0.088841
409,1,1097.845364,0.088841
410,1,1129.470158,0.088841
411,1,1055.628395,0.088841
412,1,1085.020733,0.088841
413,1,1130.846882,0.088841
414,0,,0.088841
415,0,,0.088841
416,1,1056.240368,0.088859
417,1,1099.151039,0.088859
418,0,,0.088859
419,1,1097.652149,0.088859
420,1,1068.070602,0.088859
421,1,1007.276249,0.088859
422,1,1020.499516,0.088859
423,0,,0.088859
424,0,,0.088775
425,1,1054.501438,0.088775
426,1,1117.555237,0.088775
427,1,1110.084152,0.088775
428,1,1118.90564,0.088775
429,1,1096.377087,0.088775
430,1,1035.510731,0.088775
431,1,1078.908443,0.088775
432,1,1091.849327,0.088891
433,1,1054.212761,0.088891
434,1,1130.678272,0.088891
435,0,,0.088891
436,1,1116.534805,0.088891
437,1,1115.509033,0.088891
438,1,1038.573647,0.088891
439,0,,0.088891
440,0,,0.089792
441,1,1121.304703,0.089792
442,1,1077.755928,0.089792
443,1,1061.3801,0.089792
444,1,1107.627487,0.089792
445,0,,0.089792
446,1,1149.971771,0.089792
447,1,1101.127434,0.089792
448,1,1064.097786,0.088794
449,1,1118.448162,0.088794
450,1,1126.976204,0.088794
451,1,1075.98114,0.088794
452,1,1086.982346,0.088794
453,1,1063.43298,0.088794
454,1,1104.766464,0.088794
455,0,,0.088794
456,1,1060.979939,0.088953
