instance,feasibility,objective,runtime
0,1,1052.713394,0.353027
1,0,,0.353027
2,1,1105.976105,0.353027
3,1,1037.915707,0.353027
4,0,,0.353027
5,0,,0.353027
6,1,1043.192387,0.353027
7,1,1121.530151,0.353027
8,1,1010.751343,0.346763
9,1,1066.811752,0.346763
10,1,1093.245029,0.346763
11,0,,0.346763
12,1,1092.900467,0.346763
13,1,1093.023872,0.346763
14,1,1025.390434,0.346763
15,1,1088.70306,0.346763
16,0,,0.33204
17,0,,0.33204
18,0,,0.33204
19,0,,0.33204
20,0,,0.33204
21,1,1111.320305,0.33204
22,1,1039.210033,0.33204
23,1,1020.731068,0.33204
24,1,1130.324364,0.334816
25,1,1104.269028,0.334816
26,0,,0.334816
27,1,1030.657864,0.334816
28,1,1023.270988,0.334816
29,0,,0.334816
30,0,,0.334816
31,0,,0.334816
32,1,1025.262165,0.354276
33,1,1124.765873,0.354276
34,0,,0.354276
35,0,,0.354276
36,1,1073.319912,0.354276
37,1,1106.28643,0.354276
38,0,,0.354276
39,0,,0.354276
40,0,,0.347824
41,1,1022.782516,0.347824
42,0,,0.347824
43,0,,0.347824
44,1,1038.253784,0.347824
45,1,1052.335644,0.347824
46,1,1094.520378,0.347824
47,1,1081.532669,0.347824
48,0,,0.356405
49,1,1107.271767,0.356405
50,0,,0.356405
51,1,978.985691,0.356405
52,0,,0.356405
53,1,1070.41254,0.356405
54,1,1031.715775,0.356405
55,0,,0.356405
56,1,1126.179409,0.344239
57,1,1055.839729,0.344239
58,1,1118.219852,0.344239
59,0,,0.344239
60,1,1093.725777,0.344239
61,1,1112.237072,0.344239
62,1,1091.034698,0.344239
63,0,,0.344239
64,1,1113.700867,0.352733
65,1,1068.147469,0.352733
66,1,1111.7033,0.352733
67,1,1138.878727,0.352733
68,1,1095.138741,0.352733
69,1,1098.257923,0.352733
70,1,1121.958256,0.352733
71,0,,0.352733
72,0,,0.35028
73,1,1133.132362,0.35028
74,1,1103.248596,0.35028
75,0,,0.35028
76,0,,0.35028
77,1,1030.976009,0.35028
78,1,1039.592075,0.35028
79,1,1047.720718,0.35028
80,0,,0.352065
81,0,,0.352065
82,1,1079.963112,0.352065
83,1,1069.37809,0.352065
84,1,1041.083813,0.352065
85,1,1125.043583,0.352065
86,1,1082.233334,0.352065
87,1,1034.435081,0.352065
88,0,,0.349113
89,1,1017.010689,0.349113
90,0,,0.349113
91,1,986.690331,0.349113
92,1,1088.094807,0.349113
93,0,,0.349113
94,0,,0.349113
95,1,1081.961823,0.349113
96,1,1034.592438,0.329089
97,1,1080.470753,0.329089
98,1,1087.430096,0.329089
99,0,,0.329089
100,1,1098.944283,0.329089
101,0,,0.329089
102,1,1009.33094,0.329089
103,1,1062.567329,0.329089
104,0,,0.347541
105,1,1073.668385,0.347541
106,1,1053.202724,0.347541
107,1,1094.733429,0.347541
108,1,1062.301636,0.347541
109,0,,0.347541
110,1,1092.219925,0.347541
111,1,1028.487682,0.347541
112,1,1062.661076,0.337851
113,1,1064.966869,0.337851
114,1,1060.976028,0.337851
115,1,1060.159874,0.337851
116,1,1107.66201,0.337851
117,1,1060.869312,0.337851
118,1,1027.828789,0.337851
119,0,,0.337851
120,1,1083.857918,0.3195
121,1,1065.29789,0.3195
122,1,1082.322121,0.3195
123,1,1086.890793,0.3195
124,1,1141.646099,0.3195
125,1,1058.404064,0.3195
126,1,1107.550144,0.3195
127,1,1089.973354,0.3195
128,1,1154.091167,0.339405
129,1,1120.571613,0.339405
130,1,1050.340366,0.339405
131,0,,0.339405
132,0,,0.339405
133,1,1082.993317,0.339405
134,0,,0.339405
135,0,,0.339405
136,0,,0.353944
137,1,1155.158043,0.353944
138,1,1082.588196,0.353944
139,1,1089.581108,0.353944
140,1,1115.469837,0.353944
141,0,,0.353944
142,1,1105.475044,0.353944
143,1,1073.757362,0.353944
144,1,1105.415249,0.3548
145,1,1154.240322,0.3548
146,0,,0.3548
147,1,1058.183289,0.3548
148,0,,0.3548
149,1,1036.379147,0.3548
150,1,1080.840683,0.3548
151,1,1127.12431,0.3548
152,1,1089.869499,0.346559
153,1,1083.740711,0.346559
154,1,1062.248611,0.346559
155,0,,0.346559
156,1,1128.10421,0.346559
157,1,1100.248051,0.346559
158,1,1114.091873,0.346559
159,0,,0.346559
160,1,1023.810101,0.334439
161,0,,0.334439
162,1,1059.386826,0.334439
163,0,,0.334439
164,1,1093.021297,0.334439
165,0,,0.334439
166,1,1110.018063,0.334439
167,0,,0.334439
168,0,,0.346694
169,1,1071.239185,0.346694
170,1,1108.128643,0.346694
171,1,1156.489372,0.346694
172,0,,0.346694
173,0,,0.346694
174,0,,0.346694
175,1,1043.450737,0.346694
176,1,1046.011162,0.349079
177,1,1094.013691,0.349079
178,0,,0.349079
179,1,1060.696125,0.349079
180,0,,0.349079
181,0,,0.349079
182,0,,0.349079
183,1,1048.772526,0.349079
184,1,1092.632008,0.358469
185,1,1085.834026,0.358469
186,1,1163.205719,0.358469
187,1,1058.648109,0.358469
188,1,1093.259907,0.358469
189,0,,0.358469
190,1,1100.090885,0.358469
191,0,,0.358469
192,1,1095.573711,0.344765
193,1,1077.03476,0.344765
194,1,1117.490196,0.344765
195,0,,0.344765
196,1,1072.891045,0.344765
197,1,1035.190582,0.344765
198,0,,0.344765
199,1,1107.347298,0.344765
200,1,1055.657196,0.352359
201,1,1101.504707,0.352359
202,1,1134.827709,0.352359
203,0,,0.352359
204,0,,0.352359
205,1,1101.722336,0.352359
206,1,1083.117104,0.352359
207,0,,0.352359
208,1,1121.931553,0.340948
209,0,,0.340948
210,1,968.95647,0.340948
211,1,1056.828785,0.340948
212,0,,0.340948
213,0,,0.340948
214,1,1025.329494,0.340948
215,1,1131.395626,0.340948
216,1,1080.997181,0.358428
217,0,,0.358428
218,1,1074.55225,0.358428
219,1,1082.417393,0.358428
220,1,1036.850929,0.358428
221,1,1070.304775,0.358428
222,1,1135.11734,0.358428
223,1,1103.320026,0.358428
