instance,feasibility,objective,runtime
0,1,1064.44664,0.402179
1,1,1125.402451,0.402179
2,0,,0.402179
3,1,1014.490032,0.402179
4,0,,0.402179
5,0,,0.402179
6,1,1089.789295,0.402179
7,1,1125.230598,0.402179
8,1,1018.823051,0.415721
9,1,1073.479557,0.415721
10,0,,0.415721
11,0,,0.415721
12,1,1101.191902,0.415721
13,0,,0.415721
14,1,1069.19651,0.415721
15,1,1099.473095,0.415721
16,1,1103.110886,0.386029
17,0,,0.386029
18,0,,0.386029
19,1,1100.481701,0.386029
20,1,1057.212639,0.386029
21,1,1133.750248,0.386029
22,1,1051.126003,0.386029
23,1,1014.984989,0.386029
24,0,,0.400761
25,0,,0.400761
26,0,,0.400761
27,1,1045.948601,0.400761
28,1,1044.22493,0.400761
29,0,,0.400761
30,1,1076.776505,0.400761
31,0,,0.400761
32,1,1025.76704,0.403945
33,1,1141.956425,0.403945
34,0,,0.403945
35,1,1085.547829,0.403945
36,1,1077.031136,0.403945
37,1,1117.879295,0.403945
38,0,,0.403945
39,1,1116.870022,0.403945
40,1,1054.963398,0.411101
41,1,1032.675648,0.411101
42,0,,0.411101
43,1,1071.331882,0.411101
44,1,1049.449825,0.411101
45,1,1053.35722,0.411101
46,1,1097.090721,0.411101
47,1,1086.834621,0.411101
48,1,1080.1054,0.397103
49,1,1088.956547,0.397103
50,0,,0.397103
51,1,1005.244732,0.397103
52,0,,0.397103
53,1,1062.08334,0.397103
54,1,1022.793388,0.397103
55,0,,0.397103
56,1,1133.008289,0.403511
57,1,1060.46257,0.403511
58,1,1113.06181,0.403511
59,0,,0.403511
60,1,1100.341702,0.403511
61,1,1110.989952,0.403511
62,0,,0.403511
63,1,1077.858639,0.403511
64,1,1129.39415,0.394231
65,1,1067.939186,0.394231
66,1,1096.924591,0.394231
67,1,1100.721741,0.394231
68,1,1110.168457,0.394231
69,1,1106.124401,0.394231
70,1,1090.848827,0.394231
71,1,1116.612148,0.394231
72,0,,0.384819
73,0,,0.384819
74,1,1078.185081,0.384819
75,0,,0.384819
76,0,,0.384819
77,1,1003.05748,0.384819
78,1,1069.211292,0.384819
79,0,,0.384819
80,1,1113.477802,0.403849
81,1,1094.765663,0.403849
82,1,1088.149643,0.403849
83,1,1060.535622,0.403849
84,1,1020.405674,0.403849
85,0,,0.403849
86,1,1067.941856,0.403849
87,1,1055.951118,0.403849
88,1,1082.256222,0.401395
89,1,1032.91111,0.401395
90,0,,0.401395
91,1,984.195518,0.401395
92,0,,0.401395
93,0,,0.401395
94,0,,0.401395
95,1,1094.913673,0.401395
96,1,1037.389851,0.405972
97,1,1091.285419,0.405972
98,1,1088.859653,0.405972
99,0,,0.405972
100,1,1115.55891,0.405972
101,0,,0.405972
102,1,1015.760708,0.405972
103,1,1069.083023,0.405972
104,0,,0.404682
105,0,,0.404682
106,1,1051.006794,0.404682
107,1,1070.034027,0.404682
108,0,,0.404682
109,0,,0.404682
110,0,,0.404682
111,0,,0.404682
112,1,1065.098858,0.401372
113,1,1074.945354,0.401372
114,0,,0.401372
115,0,,0.401372
116,1,1120.066261,0.401372
117,1,1058.61454,0.401372
118,0,,0.401372
119,0,,0.401372
120,0,,0.383075
121,1,1066.96701,0.383075
122,1,1098.643494,0.383075
123,1,1063.441849,0.383075
124,0,,0.383075
125,1,1061.21521,0.383075
126,1,1103.799343,0.383075
127,1,1076.70784,0.383075
128,0,,0.400043
129,1,1126.574993,0.400043
130,1,1053.869915,0.400043
131,1,1104.983807,0.400043
132,0,,0.400043
133,1,1032.258701,0.400043
134,0,,0.400043
135,0,,0.400043
136,1,1031.504345,0.408874
137,1,1167.959881,0.408874
138,1,1080.350208,0.408874
139,0,,0.408874
140,1,1108.762932,0.408874
141,1,1121.357918,0.408874
142,1,1101.056957,0.408874
143,1,1070.300007,0.408874
144,1,1101.318836,0.40547
145,1,1156.36034,0.40547
146,0,,0.40547
147,1,1055.302906,0.40547
