instance,feasibility,objective,runtime
0,1,1031.687737,0.001048
1,1,1101.880264,0.001048
2,1,1083.276749,0.001048
3,1,1004.03614,0.001048
4,0,,0.001048
5,1,1101.775837,0.001048
6,1,1031.368256,0.001048
7,1,1110.02655,0.001048
8,1,998.028755,0.001048
9,1,1064.257908,0.001048
10,1,1087.990093,0.001048
11,1,1063.28907,0.001048
12,1,1094.684887,0.001048
13,1,1074.382877,0.001048
14,1,1018.368053,0.001048
15,0,,0.001048
16,1,1046.636486,0.001048
17,0,,0.001048
18,0,,0.001048
19,1,1084.834862,0.001048
20,1,1041.93821,0.001048
21,1,1100.691605,0.001048
22,1,1021.042061,0.001048
23,1,1011.084557,0.001048
24,1,1068.940735,0.001048
25,1,1102.747726,0.001048
26,1,1117.40284,0.001048
27,1,1018.441391,0.001048
28,1,1015.628719,0.001048
29,1,1083.108521,0.001048
30,1,1053.849983,0.001048
31,1,1093.920422,0.001048
32,1,1012.507725,0.001048
33,1,1081.190109,0.001048
34,1,1086.087418,0.001048
35,1,1056.129265,0.001048
36,1,1055.190659,0.001048
37,1,1090.83252,0.001048
38,1,1076.228523,0.001048
39,1,1116.887951,0.001048
40,1,1018.119335,0.001048
41,1,997.57061,0.001048
42,1,1068.091202,0.001048
43,1,1053.986359,0.001048
44,1,1018.622017,0.001048
45,1,1051.749992,0.001048
46,1,1068.03112,0.001048
47,1,1072.625256,0.001048
48,1,1046.597672,0.001048
49,1,1084.309959,0.001048
50,1,1116.622543,0.001048
51,1,977.503967,0.001048
52,1,1069.292259,0.001048
53,1,1051.345825,0.001048
54,1,1011.234379,0.001048
55,0,,0.001048
56,1,1095.6213,0.001048
57,1,1048.25592,0.001048
58,1,1103.338337,0.001048
59,0,,0.001048
60,1,1091.489983,0.001048
61,1,1110.462475,0.001048
62,1,1080.871773,0.001048
63,1,1063.788986,0.001048
64,1,1106.916142,0.001048
65,1,1062.530136,0.001048
66,1,1084.529495,0.001048
67,1,1093.249893,0.001048
68,1,1096.207619,0.001048
69,1,1083.960915,0.001048
70,1,1063.901997,0.001048
71,1,1117.641258,0.001048
72,1,1055.813026,0.001048
73,1,1122.916985,0.001048
74,1,1063.816452,0.001048
75,1,1141.137886,0.001048
76,0,,0.001048
77,1,988.881779,0.001048
78,1,1035.334015,0.001048
79,1,1033.069134,0.001048
80,1,1087.921524,0.001048
81,1,1065.550232,0.001048
82,1,1061.733818,0.001048
83,1,1044.66095,0.001048
84,1,1004.151249,0.001048
85,1,1065.258026,0.001048
86,1,1052.441406,0.001048
87,1,1015.056038,0.001048
88,1,1074.01886,0.001048
89,1,1018.055153,0.001048
90,1,1072.581291,0.001048
91,1,976.212502,0.001048
92,0,,0.001048
93,1,1091.072178,0.001048
94,1,991.384888,0.001048
95,1,1078.569412,0.001048
96,1,1026.204681,0.001048
97,1,1075.348282,0.001048
98,1,1071.695518,0.001048
99,1,1080.831623,0.001048
100,1,1093.084335,0.001048
101,1,1024.789524,0.001048
102,1,1013.635063,0.001048
103,1,1030.019665,0.001048
104,1,1129.482079,0.001048
105,1,1057.141876,0.001048
106,1,1049.234104,0.001048
107,1,1058.658218,0.001048
108,1,1056.243515,0.001048
109,1,1125.595856,0.001048
110,1,1066.069317,0.001048
111,1,1018.93177,0.001048
112,1,1055.031681,0.001048
113,1,1056.382656,0.001048
114,1,1058.38623,0.001048
115,1,1057.569981,0.001048
116,1,1107.237434,0.001048
117,1,1048.215675,0.001048
118,1,1010.391617,0.001048
119,1,1076.315308,0.001048
120,1,1089.335632,0.001048
121,1,1060.408211,0.001048
122,1,1082.316494,0.001048
123,1,1053.12748,0.001048
124,1,1116.876221,0.001048
125,1,1058.472443,0.001048
126,1,1095.21122,0.001048
127,1,1077.701283,0.001048
128,1,1105.112839,0.001046
129,1,1120.970345,0.001046
130,1,1034.789562,0.001046
131,1,1071.156597,0.001046
132,1,1139.24408,0.001046
133,1,1012.221813,0.001046
134,1,1124.085808,0.001046
135,1,1083.845806,0.001046
