instance,feasibility,objective,runtime
0,1,1039.60104,0.003712
1,1,1109.615517,0.003712
2,1,1089.175415,0.003712
3,1,1004.357719,0.003712
4,0,,0.003712
5,1,1099.366474,0.003712
6,1,1042.312336,0.003712
7,1,1111.55014,0.003712
8,1,997.845078,0.003712
9,0,,0.003712
10,1,1078.833199,0.003712
11,1,1049.498367,0.003712
12,1,1092.094517,0.003712
13,1,1064.541245,0.003712
14,1,1016.404152,0.003712
15,1,1059.0765,0.003712
16,1,1034.815693,0.003712
17,0,,0.003712
18,0,,0.003712
19,1,1081.361866,0.003712
20,1,1035.430908,0.003712
21,1,1102.479649,0.003712
22,1,1030.080605,0.003712
23,1,1002.752876,0.003712
24,1,1069.621372,0.003712
25,1,1097.71843,0.003712
26,1,1112.038231,0.003712
27,1,1017.589664,0.003712
28,1,1010.658455,0.003712
29,1,1081.253529,0.003712
30,1,1050.462723,0.003712
31,1,1111.846352,0.003712
32,1,1011.641121,0.003712
33,1,1082.899189,0.003712
34,1,1087.549782,0.003712
35,1,1051.062775,0.003712
36,1,1061.227131,0.003712
37,1,1101.590157,0.003712
38,1,1082.661343,0.003712
39,1,1107.297325,0.003712
40,1,1031.756592,0.003712
41,1,989.189434,0.003712
42,1,1065.344429,0.003712
43,1,1042.880344,0.003712
44,1,1018.120956,0.003712
45,1,1051.413918,0.003712
46,1,1052.495575,0.003712
47,1,1072.563744,0.003712
48,1,1053.48053,0.003712
49,1,1052.882957,0.003712
50,1,1113.165569,0.003712
51,1,972.380829,0.003712
52,1,1069.026756,0.003712
53,1,1054.220009,0.003712
54,1,1005.353069,0.003712
55,1,1065.317154,0.003712
56,1,1086.695099,0.003712
57,1,1043.949699,0.003712
58,1,1103.702927,0.003712
59,1,1063.493538,0.003712
60,1,1074.392319,0.003712
61,1,1111.270142,0.003712
62,1,1085.504818,0.003712
63,1,1067.642689,0.003712
64,1,1107.492924,0.003712
65,1,1065.024185,0.003712
66,1,1079.841042,0.003712
67,1,1091.962433,0.003712
68,1,1090.729713,0.003712
69,1,1088.780022,0.003712
70,1,1069.722366,0.003712
71,1,1112.026215,0.003712
72,1,1053.284359,0.003712
73,1,1128.46241,0.003712
74,1,1063.241482,0.003712
75,1,1138.066101,0.003712
76,0,,0.003712
77,1,981.795502,0.003712
78,1,1034.305286,0.003712
79,1,1027.651405,0.003712
80,1,1088.640118,0.003712
81,1,1075.191879,0.003712
82,1,1072.21508,0.003712
83,1,1029.413414,0.003712
84,1,994.152164,0.003712
85,1,1061.230087,0.003712
86,1,1049.727631,0.003712
87,1,1013.063622,0.003712
88,1,1078.781986,0.003712
89,1,1016.998482,0.003712
90,1,1067.670631,0.003712
91,1,984.391594,0.003712
92,1,1068.024063,0.003712
93,1,1093.799591,0.003712
94,0,,0.003712
95,1,1076.09272,0.003712
96,1,1030.530834,0.003712
97,1,1096.552181,0.003712
98,1,1073.03257,0.003712
99,1,1081.520653,0.003712
100,1,1088.336945,0.003712
101,1,1020.866203,0.003712
102,1,1007.152748,0.003712
