instance,feasibility,objective,runtime
0,1,1039.60104,0.003774
1,1,1109.615517,0.003774
2,1,1089.175415,0.003774
3,1,1004.357719,0.003774
4,0,,0.003774
5,1,1099.366474,0.003774
6,1,1042.312336,0.003774
7,1,1111.55014,0.003774
8,1,997.845078,0.003774
9,0,,0.003774
10,1,1078.833199,0.003774
11,1,1049.498367,0.003774
12,1,1092.094517,0.003774
13,1,1064.541245,0.003774
14,1,1016.404152,0.003774
15,1,1059.0765,0.003774
16,1,1034.815693,0.003774
17,0,,0.003774
18,0,,0.003774
19,1,1081.361866,0.003774
20,1,1035.430908,0.003774
21,1,1102.479649,0.003774
22,1,1030.080605,0.003774
23,1,1002.752876,0.003774
24,1,1069.621372,0.003774
25,1,1097.71843,0.003774
26,1,1112.038231,0.003774
27,1,1017.589664,0.003774
28,1,1010.658455,0.003774
29,1,1081.253529,0.003774
30,1,1050.462723,0.003774
31,1,1111.846352,0.003774
32,1,1011.641121,0.003774
33,1,1082.899189,0.003774
34,1,1087.549782,0.003774
35,1,1051.062775,0.003774
36,1,1061.227131,0.003774
37,1,1101.590157,0.003774
38,1,1082.661343,0.003774
39,1,1107.297325,0.003774
40,1,1031.756592,0.003774
41,1,989.189434,0.003774
42,1,1065.344429,0.003774
43,1,1042.880344,0.003774
44,1,1018.120956,0.003774
45,1,1051.413918,0.003774
46,1,1052.495575,0.003774
47,1,1072.563744,0.003774
48,1,1053.48053,0.003774
49,1,1052.882957,0.003774
50,1,1113.165569,0.003774
51,1,972.380829,0.003774
52,1,1069.026756,0.003774
53,1,1054.220009,0.003774
54,1,1005.353069,0.003774
55,1,1065.317154,0.003774
56,1,1086.695099,0.003774
57,1,1043.949699,0.003774
58,1,1103.702927,0.003774
59,1,1063.493538,0.003774
60,1,1074.392319,0.003774
61,1,1111.270142,0.003774
62,1,1085.504818,0.003774
63,1,1067.642689,0.003774
64,1,1107.492924,0.003774
65,1,1065.024185,0.003774
66,1,1079.841042,0.003774
67,1,1091.962433,0.003774
68,1,1090.729713,0.003774
69,1,1088.780022,0.003774
70,1,1069.722366,0.003774
71,1,1112.026215,0.003774
72,1,1053.284359,0.003774
73,1,1128.46241,0.003774
74,1,1063.241482,0.003774
75,1,1138.066101,0.003774
76,0,,0.003774
77,1,981.795502,0.003774
78,1,1034.305286,0.003774
79,1,1027.651405,0.003774
80,1,1088.640118,0.003774
81,1,1075.191879,0.003774
82,1,1072.21508,0.003774
83,1,1029.413414,0.003774
84,1,994.152164,0.003774
85,1,1061.230087,0.003774
86,1,1049.727631,0.003774
87,1,1013.063622,0.003774
88,1,1078.781986,0.003774
89,1,1016.998482,0.003774
90,1,1067.670631,0.003774
91,1,984.391594,0.003774
92,1,1068.024063,0.003774
93,1,1093.799591,0.003774
94,0,,0.003774
95,1,1076.09272,0.003774
96,1,1030.530834,0.003774
97,1,1096.552181,0.003774
98,1,1073.03257,0.003774
99,1,1081.520653,0.003774
100,1,1088.336945,0.003774
101,1,1020.866203,0.003774
102,1,1007.152748,0.003774
103,1,1022.321129,0.003774
104,1,1122.057533,0.003774
105,1,1051.853085,0.003774
106,1,1045.82386,0.003774
107,1,1058.355331,0.003774
108,0,,0.003774
109,1,1110.262871,0.003774
110,1,1065.841866,0.003774
111,1,1018.895817,0.003774
112,1,1056.056023,0.003774
113,1,1064.496613,0.003774
114,1,1055.507088,0.003774
115,1,1054.60453,0.003774
116,1,1104.220486,0.003774
117,1,1046.953487,0.003774
118,1,1013.456535,0.003774
119,1,1076.395798,0.003774
120,1,1076.497269,0.003774
121,1,1061.744308,0.003774
122,1,1075.118446,0.003774
123,1,1037.040901,0.003774
124,1,1116.437149,0.003774
125,1,1050.683975,0.003774
126,1,1096.529579,0.003774
127,1,1079.696465,0.003774
128,1,1097.348309,0.003772
129,1,1120.617962,0.003772
130,1,1033.661652,0.003772
131,1,1063.7887,0.003772
132,1,1139.61134,0.003772
133,1,1012.896442,0.003772
134,1,1110.296631,0.003772
135,1,1081.112576,0.003772
136,1,1001.847649,0.003772
137,1,1144.529629,0.003772
138,1,1063.777447,0.003772
139,0,,0.003772
140,1,1064.015388,0.003772
141,1,1078.518867,0.003772
142,1,1084.034348,0.003772
143,1,1051.846695,0.003772
