instance,feasibility,objective,runtime
0,1,493.668985,0.030873
1,1,320.174718,0.030873
2,1,400.536489,0.030873
3,1,337.269187,0.030873
4,1,360.177708,0.030873
5,1,485.000896,0.030873
6,1,466.843414,0.030873
7,1,413.524723,0.030873
8,1,386.070704,0.00496
9,1,466.349649,0.00496
10,1,435.574198,0.00496
11,1,443.802595,0.00496
12,1,369.829416,0.00496
13,1,490.52577,0.00496
14,1,416.667175,0.00496
15,1,408.767986,0.00496
16,1,483.509398,0.004943
17,1,350.501204,0.004943
18,1,377.203178,0.004943
19,1,381.675982,0.004943
20,1,396.772504,0.004943
21,1,419.233656,0.004943
22,1,305.371547,0.004943
23,1,432.505655,0.004943
24,1,388.469815,0.004933
25,1,345.280719,0.004933
26,1,366.201758,0.004933
27,1,367.572451,0.004933
28,1,464.996862,0.004933
29,1,340.19351,0.004933
30,1,402.710962,0.004933
31,1,444.658422,0.004933
32,1,438.020277,0.00493
33,1,444.275856,0.00493
34,1,430.865335,0.00493
35,1,384.766173,0.00493
36,1,390.64517,0.00493
37,1,523.952961,0.00493
38,1,478.849268,0.00493
39,1,370.842385,0.00493
40,1,357.851219,0.004971
41,1,407.070208,0.004971
42,1,404.285145,0.004971
43,1,326.672888,0.004971
44,1,389.736676,0.004971
45,1,372.326517,0.004971
46,1,489.550018,0.004971
47,1,386.445904,0.004971
48,1,327.230883,0.004975
49,1,371.436906,0.004975
50,1,357.516646,0.004975
51,1,392.13078,0.004975
52,1,411.246872,0.004975
53,1,384.895968,0.004975
54,1,468.139696,0.004975
55,1,446.340275,0.004975
56,1,415.14535,0.004931
57,1,460.238934,0.004931
58,1,409.764242,0.004931
59,1,529.754496,0.004931
60,1,427.422142,0.004931
61,1,384.411168,0.004931
62,1,443.913317,0.004931
63,1,375.096416,0.004931
64,1,423.739195,0.004937
65,1,441.221285,0.004937
66,1,400.738001,0.004937
67,1,402.799606,0.004937
68,1,497.628021,0.004937
69,1,407.028341,0.004937
70,1,475.51403,0.004937
71,1,405.5233,0.004937
72,1,494.817829,0.004936
73,1,307.129383,0.004936
74,1,454.794216,0.004936
75,1,439.398527,0.004936
76,1,415.59782,0.004936
77,1,378.492546,0.004936
78,1,430.170155,0.004936
79,1,400.343227,0.004936
80,1,396.335387,0.00494
81,1,494.597435,0.00494
82,1,379.607725,0.00494
83,1,429.859495,0.00494
84,1,393.345356,0.00494
85,1,345.316267,0.00494
86,1,367.019057,0.00494
87,1,456.192446,0.00494
88,1,364.173412,0.004947
89,1,454.93083,0.004947
90,1,438.770771,0.004947
91,1,345.844603,0.004947
92,1,333.242345,0.004947
93,1,397.603178,0.004947
94,1,447.56918,0.004947
95,1,527.981663,0.004947
96,1,446.361923,0.004932
97,1,372.969437,0.004932
98,1,512.970448,0.004932
99,1,396.056199,0.004932
100,1,465.445662,0.004932
101,1,423.360634,0.004932
102,1,399.975443,0.004932
103,1,388.345122,0.004932
104,1,363.215494,0.00493
105,1,291.726637,0.00493
106,1,447.849941,0.00493
107,1,400.101185,0.00493
108,1,420.980215,0.00493
109,1,431.809235,0.00493
110,1,350.864148,0.00493
111,1,481.231308,0.00493
112,1,427.050257,0.004933
113,1,347.833109,0.004933
114,1,482.319307,0.004933
115,1,453.665495,0.004933
116,1,486.908579,0.004933
117,1,434.823704,0.004933
118,1,401.958799,0.004933
119,1,475.926495,0.004933
120,1,361.536551,0.004936
121,1,347.424197,0.004936
122,1,378.915167,0.004936
123,1,395.103884,0.004936
124,1,366.306138,0.004936
125,1,414.167452,0.004936
126,1,473.519468,0.004936
127,1,450.401163,0.004936
128,1,550.170612,0.004936
129,1,479.520893,0.004936
130,1,497.282219,0.004936
131,1,546.180391,0.004936
132,1,362.648606,0.004936
133,1,449.86763,0.004936
134,1,409.924889,0.004936
135,1,453.650475,0.004936
136,1,412.13274,0.004931
137,1,543.292093,0.004931
138,1,370.618486,0.004931
139,1,389.679265,0.004931
140,1,366.349721,0.004931
141,1,413.764429,0.004931
142,1,394.656992,0.004931
143,1,399.800515,0.004931
144,1,379.921269,0.004927
145,1,456.06122,0.004927
146,1,314.35616,0.004927
147,1,445.520735,0.004927
148,1,406.101274,0.004927
149,1,337.055755,0.004927
150,1,321.813679,0.004927
151,1,400.311041,0.004927
152,1,284.043765,0.00494
153,1,388.028884,0.00494
154,1,492.957067,0.00494
155,1,333.464456,0.00494
156,1,486.647129,0.00494
157,1,381.746602,0.00494
158,1,430.449057,0.00494
159,1,398.862219,0.00494
160,1,351.109695,0.004934
161,1,462.413168,0.004934
162,1,509.718084,0.004934
163,1,390.069032,0.004934
164,1,311.020231,0.004934
165,1,316.529369,0.004934
166,1,568.825197,0.004934
167,1,417.417622,0.004934
168,1,394.735742,0.004934
169,1,514.152193,0.004934
170,1,444.805431,0.004934
171,1,451.898718,0.004934
172,1,463.16824,0.004934
173,1,395.092916,0.004934
174,1,445.008898,0.004934
175,1,449.876499,0.004934
176,1,529.963112,0.004931
177,1,344.050908,0.004931
178,1,447.93005,0.004931
179,1,567.458057,0.004931
180,1,358.477235,0.004931
181,1,413.631868,0.004931
182,1,454.265451,0.004931
183,1,437.340689,0.004931
184,1,373.47095,0.004943
185,1,487.649012,0.004943
186,1,370.641541,0.004943
187,1,396.003199,0.004943
188,1,477.275944,0.004943
189,1,485.100889,0.004943
190,1,331.955814,0.004943
191,1,409.669924,0.004943
192,1,477.833939,0.004931
193,1,431.458282,0.004931
194,1,366.054678,0.004931
195,1,468.187284,0.004931
196,1,427.377081,0.004931
197,1,428.406191,0.004931
198,1,375.810409,0.004931
199,1,475.901079,0.004931
200,1,414.420033,0.004936
201,1,446.806622,0.004936
202,1,457.243681,0.004936
203,1,463.96513,0.004936
204,1,346.070147,0.004936
205,1,462.710047,0.004936
206,1,421.225595,0.004936
207,1,408.460999,0.004936
208,1,412.300825,0.004939
209,1,348.897791,0.004939
210,1,349.127364,0.004939
211,1,436.301041,0.004939
212,1,390.955544,0.004939
213,1,426.539373,0.004939
214,1,455.568552,0.004939
215,1,439.003801,0.004939
216,1,465.348625,0.004937
217,1,415.316057,0.004937
218,1,342.457628,0.004937
219,1,325.865149,0.004937
220,1,431.411839,0.004937
221,1,395.679021,0.004937
222,1,397.930431,0.004937
223,1,399.98095,0.004937
224,1,371.527219,0.004935
225,1,417.771769,0.004935
226,1,380.289507,0.004935
227,1,453.143358,0.004935
228,1,474.688959,0.004935
229,1,414.008188,0.004935
230,1,413.109016,0.004935
231,1,383.092475,0.004935
232,1,401.993084,0.004933
233,1,398.260593,0.004933
234,1,468.353748,0.004933
235,1,298.370123,0.004933
236,1,394.859791,0.004933
237,1,393.186474,0.004933
238,1,379.123783,0.004933
239,1,404.537535,0.004933
240,1,512.026405,0.004928
241,1,358.251524,0.004928
242,1,448.333931,0.004928
243,1,404.337597,0.004928
244,1,469.286728,0.004928
245,1,361.38413,0.004928
246,1,356.418347,0.004928
247,1,388.18934,0.004928
248,1,397.923827,0.004991
249,1,429.150581,0.004991
250,1,422.413254,0.004991
251,1,526.929092,0.004991
252,1,433.740139,0.004991
253,1,315.107799,0.004991
254,1,393.924999,0.004991
255,1,402.148914,0.004991
256,1,409.103155,0.004984
257,1,365.964007,0.004984
258,1,375.107312,0.004984
259,1,443.095446,0.004984
260,0,,0.004984
261,1,471.554232,0.004984
262,1,384.184909,0.004984
263,1,469.622135,0.004984
264,1,340.123415,0.004934
265,1,446.534729,0.004934
266,1,378.633547,0.004934
267,1,405.238581,0.004934
268,1,449.030256,0.004934
269,1,474.84827,0.004934
270,1,473.199415,0.004934
271,1,402.72727,0.004934
272,1,386.299777,0.004935
273,1,455.678225,0.004935
274,1,428.451824,0.004935
275,1,383.279324,0.004935
276,1,427.830076,0.004935
277,1,442.324495,0.004935
278,1,518.571758,0.004935
279,1,384.710884,0.004935
280,1,326.770115,0.004935
281,1,414.684963,0.004935
282,1,401.740265,0.004935
283,1,398.813891,0.004935
284,1,464.735126,0.004935
285,1,289.325762,0.004935
286,1,526.427364,0.004935
287,1,366.102338,0.004935
288,1,433.263731,0.004954
289,1,446.700382,0.004954
290,1,299.807072,0.004954
291,1,545.586252,0.004954
292,1,408.230686,0.004954
293,1,373.046899,0.004954
294,1,493.080711,0.004954
295,1,423.254204,0.004954
296,1,369.168806,0.00493
297,1,428.795099,0.00493
298,1,349.271679,0.00493
299,1,357.989526,0.00493
300,1,372.861505,0.00493
301,1,309.658194,0.00493
302,1,310.226345,0.00493
303,1,452.190638,0.00493
304,1,465.946913,0.004935
305,1,396.950889,0.004935
306,1,405.169535,0.004935
307,1,484.516191,0.004935
308,1,511.352301,0.004935
309,1,324.673486,0.004935
310,1,332.315159,0.004935
311,1,360.221195,0.004935
312,1,493.347836,0.004924
313,1,401.590919,0.004924
314,1,415.996695,0.004924
315,1,409.008121,0.004924
316,1,556.821775,0.004924
317,1,383.582401,0.004924
318,1,423.503876,0.004924
319,1,357.353544,0.004924
320,1,396.55745,0.004936
321,1,431.966591,0.004936
322,1,352.215505,0.004936
323,1,446.105814,0.004936
324,1,381.333709,0.004936
325,1,457.333088,0.004936
326,1,500.299978,0.004936
327,1,357.230234,0.004936
328,1,410.891819,0.004927
329,1,351.242375,0.004927
330,1,387.394619,0.004927
331,1,499.553823,0.004927
332,1,384.613609,0.004927
333,1,519.641113,0.004927
334,1,329.909039,0.004927
335,1,435.766697,0.004927
336,1,369.617057,0.004925
337,1,427.19264,0.004925
338,1,446.848583,0.004925
339,1,404.623127,0.004925
340,1,490.586185,0.004925
341,1,368.510532,0.004925
342,1,395.863724,0.004925
343,1,366.772175,0.004925
344,1,373.192954,0.004928
345,1,352.982283,0.004928
346,1,425.354958,0.004928
347,1,434.094906,0.004928
348,1,400.122356,0.004928
349,1,405.184507,0.004928
350,1,455.658913,0.004928
351,1,377.789211,0.004928
352,1,340.367413,0.004936
353,1,386.165166,0.004936
354,1,373.504186,0.004936
355,1,476.302433,0.004936
356,1,361.498451,0.004936
357,1,458.365583,0.004936
358,1,432.493448,0.004936
359,1,362.77492,0.004936
360,1,447.073603,0.004932
361,1,398.038626,0.004932
362,1,386.570096,0.004932
363,1,434.882498,0.004932
364,1,446.753073,0.004932
365,1,399.935246,0.004932
366,1,468.45355,0.004932
367,1,389.826918,0.004932
368,1,409.375381,0.00493
369,1,464.687681,0.00493
370,1,466.209078,0.00493
371,1,345.872188,0.00493
372,0,,0.00493
373,1,363.350868,0.00493
374,1,517.956972,0.00493
375,1,468.940973,0.00493
376,1,420.145559,0.004961
377,1,434.681559,0.004961
378,1,386.591554,0.004961
379,1,414.817572,0.004961
380,1,326.34027,0.004961
381,1,437.119818,0.004961
382,1,425.299168,0.004961
383,1,410.917711,0.004961
384,1,346.599722,0.004996
385,1,422.093868,0.004996
386,1,380.183411,0.004996
387,1,528.543091,0.004996
388,1,436.250782,0.004996
389,1,435.135174,0.004996
390,1,478.028965,0.004996
391,1,455.660772,0.004996
392,1,453.761148,0.005009
393,1,391.558528,0.005009
394,1,418.854856,0.005009
395,1,491.944075,0.005009
396,1,469.263983,0.005009
397,1,408.331156,0.005009
398,1,384.68082,0.005009
399,1,460.431385,0.005009
400,1,441.120195,0.004989
401,1,403.309584,0.004989
402,1,367.214298,0.004989
403,1,367.374349,0.004989
404,1,402.174759,0.004989
405,1,513.758087,0.004989
406,1,374.268937,0.004989
407,1,387.377071,0.004989
408,1,383.151841,0.00494
409,1,350.451159,0.00494
410,1,480.071115,0.00494
411,1,422.581196,0.00494
412,1,366.442227,0.00494
413,1,422.759151,0.00494
414,1,437.399292,0.00494
415,1,433.747196,0.00494
416,1,423.907518,0.004932
417,1,369.373703,0.004932
418,1,332.918143,0.004932
419,1,408.454418,0.004932
420,1,415.681171,0.004932
421,1,419.512463,0.004932
422,1,416.159773,0.004932
423,1,449.201536,0.004932
424,1,500.017834,0.004936
425,1,331.896496,0.004936
426,1,399.886632,0.004936
427,1,386.694121,0.004936
428,1,406.674767,0.004936
429,1,455.71661,0.004936
430,1,356.069374,0.004936
431,1,387.25419,0.004936
432,1,401.829147,0.004935
433,1,422.499418,0.004935
434,1,490.104818,0.004935
435,1,467.4191,0.004935
436,1,409.937191,0.004935
437,1,474.281216,0.004935
438,1,425.180197,0.004935
439,1,421.324062,0.004935
440,1,434.320879,0.004932
441,1,500.690413,0.004932
442,1,441.211843,0.004932
443,1,483.017683,0.004932
444,1,444.625616,0.004932
445,1,495.37344,0.004932
446,1,435.104465,0.004932
447,1,398.799562,0.004932
448,1,455.760765,0.004927
449,1,438.757849,0.004927
450,1,384.287953,0.004927
451,1,354.301047,0.004927
452,1,437.808752,0.004927
453,1,391.421151,0.004927
454,1,524.550056,0.004927
455,1,423.910284,0.004927
456,1,343.573952,0.004986
457,1,352.049446,0.004986
458,1,533.980322,0.004986
459,1,477.675056,0.004986
460,1,500.358868,0.004986
461,1,372.413707,0.004986
462,1,401.976728,0.004986
463,1,495.179129,0.004986
464,1,390.512514,0.004973
465,1,319.926834,0.004973
466,1,381.661224,0.004973
467,1,362.720442,0.004973
468,1,429.995012,0.004973
469,1,367.865396,0.004973
470,1,434.942913,0.004973
471,1,388.853121,0.004973
472,1,363.588786,0.004931
473,1,467.638588,0.004931
474,1,342.723894,0.004931
475,1,433.711815,0.004931
476,1,323.257542,0.004931
477,1,428.283072,0.004931
478,1,450.867319,0.004931
479,1,371.933866,0.004931
480,1,338.340378,0.004936
481,1,437.577152,0.004936
482,1,420.612955,0.004936
483,1,489.692307,0.004936
484,1,375.389194,0.004936
485,1,484.841633,0.004936
486,1,481.967068,0.004936
487,1,557.180595,0.004936
488,1,453.866959,0.004962
489,1,411.547852,0.004962
490,1,501.396847,0.004962
491,1,436.403704,0.004962
492,1,429.214239,0.004962
493,1,347.026801,0.004962
494,1,418.154383,0.004962
495,1,483.686781,0.004962
496,1,425.192165,0.004933
497,1,434.951591,0.004933
498,1,398.328233,0.004933
499,1,419.941711,0.004933
500,1,372.908926,0.004933
501,1,362.915254,0.004933
502,1,426.691723,0.004933
503,1,433.638668,0.004933
504,1,421.684074,0.004931
505,1,353.951812,0.004931
506,1,459.038019,0.004931
507,1,414.726067,0.004931
508,1,414.589167,0.004931
509,1,341.388226,0.004931
510,1,387.410569,0.004931
511,1,400.319624,0.004931
512,1,473.99683,0.004934
513,1,411.366653,0.004934
514,1,489.704561,0.004934
515,1,385.691428,0.004934
516,1,484.669256,0.004934
517,1,465.359592,0.004934
518,1,452.971697,0.004934
519,1,407.080269,0.004934
520,1,445.89572,0.004933
521,1,449.581099,0.004933
522,1,441.263914,0.004933
523,1,480.19681,0.004933
524,1,457.772398,0.004933
525,1,337.803555,0.004933
526,1,490.560865,0.004933
527,1,347.301865,0.004933
528,1,395.653272,0.004961
529,1,422.297764,0.004961
530,1,450.252104,0.004961
531,1,356.778121,0.004961
532,1,354.924178,0.004961
533,1,366.539717,0.004961
534,1,402.872086,0.004961
535,1,515.551662,0.004961
536,1,411.93862,0.004931
537,1,481.825304,0.004931
538,1,455.907297,0.004931
539,1,412.829876,0.004931
540,1,486.418581,0.004931
541,1,453.403378,0.004931
542,1,435.115099,0.004931
543,1,349.525118,0.004931
544,1,436.168814,0.004927
545,1,379.973531,0.004927
546,1,488.669205,0.004927
547,1,435.458183,0.004927
548,1,482.355309,0.004927
549,1,388.716197,0.004927
550,1,401.618671,0.004927
551,1,434.877348,0.004927
552,1,368.962598,0.004938
553,1,378.524971,0.004938
554,1,378.659272,0.004938
555,1,376.155138,0.004938
556,1,468.287706,0.004938
557,1,463.540506,0.004938
558,1,343.423772,0.004938
559,1,389.234281,0.004938
560,1,364.554024,0.004939
561,1,457.122564,0.004939
562,1,447.502518,0.004939
563,1,388.646078,0.004939
564,1,523.055077,0.004939
565,1,400.214338,0.004939
566,1,527.547932,0.004939
567,1,336.428046,0.004939
568,1,426.130772,0.004934
569,1,424.085617,0.004934
570,1,348.725939,0.004934
571,1,373.804617,0.004934
572,1,412.316895,0.004934
573,1,420.518064,0.004934
574,1,458.246088,0.004934
575,1,390.084004,0.004934
576,1,411.664295,0.004933
577,1,388.972235,0.004933
578,1,464.84704,0.004933
579,1,376.255369,0.004933
580,1,457.836103,0.004933
581,1,476.619148,0.004933
582,1,427.489758,0.004933
583,1,364.716268,0.004933
584,1,373.94278,0.004923
585,1,402.931595,0.004923
586,1,437.727213,0.004923
587,1,407.170057,0.004923
588,1,455.303478,0.004923
589,1,372.683358,0.004923
590,1,367.887282,0.004923
591,1,447.415972,0.004923
592,1,416.674662,0.004928
593,1,366.349053,0.004928
594,1,392.269468,0.004928
595,1,528.941727,0.004928
596,1,460.527086,0.004928
597,1,394.633555,0.004928
598,1,430.040169,0.004928
599,1,406.086111,0.004928
600,1,456.670046,0.004929
601,1,415.246391,0.004929
602,1,427.136993,0.004929
603,1,418.783379,0.004929
604,1,409.136534,0.004929
605,1,349.228239,0.004929
606,1,391.972184,0.004929
607,1,405.239105,0.004929
608,1,440.333319,0.004933
609,1,377.299047,0.004933
610,1,448.877668,0.004933
611,1,403.700447,0.004933
612,1,374.796224,0.004933
613,1,480.476618,0.004933
614,1,478.906679,0.004933
615,1,431.597233,0.004933
616,1,370.969796,0.004927
617,1,434.406185,0.004927
618,1,417.864799,0.004927
619,1,435.50787,0.004927
620,1,446.21582,0.004927
621,0,,0.004927
622,1,325.911212,0.004927
623,1,486.156368,0.004927
624,1,447.743225,0.004934
625,1,335.869741,0.004934
626,1,431.164885,0.004934
627,1,397.377181,0.004934
628,1,332.737827,0.004934
629,1,491.650343,0.004934
630,1,458.713531,0.004934
631,1,364.86361,0.004934
632,1,367.925358,0.004938
633,1,421.551657,0.004938
634,1,399.205637,0.004938
635,1,373.380208,0.004938
636,1,350.125051,0.004938
637,1,384.168029,0.004938
638,1,392.908311,0.004938
639,1,377.903938,0.004938
640,1,395.141482,0.004937
641,1,411.985064,0.004937
642,1,423.270702,0.004937
643,1,474.108887,0.004937
644,1,374.586773,0.004937
645,1,307.96752,0.004937
646,1,416.523266,0.004937
647,1,433.646488,0.004937
648,1,344.52827,0.00493
649,1,350.231957,0.00493
650,1,373.293114,0.00493
651,1,368.288279,0.00493
652,1,368.775821,0.00493
653,1,387.182426,0.00493
654,1,398.260641,0.00493
655,1,447.543049,0.00493
656,1,421.678019,0.004936
657,1,375.29099,0.004936
658,1,312.904239,0.004936
659,1,459.966469,0.004936
660,1,404.670143,0.004936
661,1,414.280653,0.004936
662,1,384.462762,0.004936
663,1,372.982311,0.004936
664,1,460.040283,0.005001
