instance,feasibility,objective,runtime
0,1,491.789722,0.00037
1,1,320.134187,0.00037
2,1,403.453159,0.00037
3,1,323.567724,0.00037
4,1,367.709208,0.00037
5,1,503.439283,0.00037
6,1,466.580868,0.00037
7,1,396.36693,0.00037
8,1,380.037522,0.00037
9,1,466.975069,0.00037
10,1,435.988617,0.00037
11,1,441.210556,0.00037
12,1,370.222521,0.00037
13,1,490.063,0.00037
14,1,388.720942,0.00037
15,1,391.222382,0.00037
16,1,477.931309,0.00037
17,1,350.501204,0.00037
18,1,397.764444,0.00037
19,1,369.164872,0.00037
20,1,413.103437,0.00037
21,1,415.199757,0.00037
22,1,314.67886,0.00037
23,1,415.354967,0.00037
24,1,354.7647,0.00037
25,1,351.237392,0.00037
26,1,357.107306,0.00037
27,1,368.103647,0.00037
28,1,466.565037,0.00037
29,1,342.04278,0.00037
30,1,415.339947,0.00037
31,1,448.116064,0.00037
32,1,431.481266,0.00037
33,1,442.897654,0.00037
34,1,425.396347,0.00037
35,1,405.715513,0.00037
36,1,436.057472,0.00037
37,1,496.570635,0.00037
38,1,439.151859,0.00037
39,1,371.189237,0.00037
40,1,352.300096,0.00037
41,1,407.070208,0.00037
42,1,402.125549,0.00037
43,1,322.313356,0.00037
44,1,386.679125,0.00037
45,1,363.418055,0.00037
46,1,496.148109,0.00037
47,1,382.745099,0.00037
48,1,338.310957,0.00037
49,1,372.602105,0.00037
50,1,362.646747,0.00037
51,1,392.439175,0.00037
52,1,401.531219,0.00037
53,1,397.253036,0.00037
54,1,465.644264,0.00037
55,1,441.950512,0.00037
56,1,409.14917,0.00037
57,1,464.001942,0.00037
58,1,420.13917,0.00037
59,1,527.885056,0.00037
60,1,431.373644,0.00037
61,1,403.692055,0.00037
62,1,451.167917,0.00037
63,1,359.197044,0.00037
64,1,421.387434,0.00037
65,1,434.244537,0.00037
66,1,402.48518,0.00037
67,1,401.481962,0.00037
68,1,488.994408,0.00037
69,1,429.596806,0.00037
70,1,472.643948,0.00037
71,1,408.002377,0.00037
72,1,492.130566,0.00037
73,1,306.481457,0.00037
74,1,450.638008,0.00037
75,1,430.110836,0.00037
76,1,424.254513,0.00037
77,1,390.288448,0.00037
78,1,435.844278,0.00037
79,1,395.422244,0.00037
80,1,395.615768,0.00037
81,1,498.294449,0.00037
82,1,379.756236,0.00037
83,1,426.145506,0.00037
84,1,435.790682,0.00037
85,1,328.171325,0.00037
86,1,370.792842,0.00037
87,1,452.293873,0.00037
88,1,343.066669,0.00037
89,1,446.029615,0.00037
90,1,444.250202,0.00037
91,1,378.59149,0.00037
92,1,344.736099,0.00037
93,1,400.174093,0.00037
94,1,437.868738,0.00037
95,1,527.326775,0.00037
96,1,436.668921,0.00037
97,1,394.465828,0.00037
98,1,494.537067,0.00037
99,1,434.360933,0.00037
100,1,462.130213,0.00037
101,1,403.872967,0.00037
102,1,373.638058,0.00037
103,1,387.953639,0.00037
104,1,344.033241,0.00037
105,1,316.463614,0.00037
106,1,429.536152,0.00037
107,1,413.11388,0.00037
108,1,419.303036,0.00037
109,1,437.571144,0.00037
110,1,371.838045,0.00037
111,1,453.827715,0.00037
112,1,421.314716,0.00037
113,1,347.833109,0.00037
114,1,485.159969,0.00037
115,1,440.772724,0.00037
116,1,527.131319,0.00037
117,1,409.795952,0.00037
118,1,405.463791,0.00037
119,1,456.771946,0.00037
120,1,361.19616,0.00037
121,1,360.458183,0.00037
122,1,389.536762,0.00037
123,1,395.238519,0.00037
124,1,364.663815,0.00037
125,1,421.927357,0.00037
126,1,476.366663,0.00037
127,1,455.39875,0.00037
128,1,577.680969,0.000351
129,1,494.317055,0.000351
130,1,488.017559,0.000351
131,1,499.367762,0.000351
132,1,374.93453,0.000351
133,1,450.306225,0.000351
134,1,423.032951,0.000351
135,1,437.826538,0.000351
136,1,425.960636,0.000351
137,1,528.190136,0.000351
138,1,370.618486,0.000351
139,1,392.625093,0.000351
140,1,361.207008,0.000351
141,1,422.218895,0.000351
142,1,397.426319,0.000351
143,1,399.710655,0.000351
144,1,378.433371,0.000351
145,1,441.509342,0.000351
146,1,375.408673,0.000351
147,1,435.914803,0.000351
148,1,401.789904,0.000351
149,1,318.039703,0.000351
150,1,323.255825,0.000351
151,1,388.22403,0.000351
152,1,279.978514,0.000351
153,1,391.719699,0.000351
154,1,503.882885,0.000351
155,1,333.696985,0.000351
156,1,445.497131,0.000351
157,1,371.493626,0.000351
158,1,422.938824,0.000351
159,1,403.257942,0.000351
160,1,339.134216,0.000351
161,1,462.919283,0.000351
162,1,499.234343,0.000351
163,1,394.266701,0.000351
164,1,303.19376,0.000351
165,1,317.302799,0.000351
166,1,565.49387,0.000351
167,1,414.17799,0.000351
168,1,394.471598,0.000351
169,1,512.121773,0.000351
170,1,430.137968,0.000351
171,1,442.105198,0.000351
172,1,467.403698,0.000351
173,1,410.55727,0.000351
174,1,432.598209,0.000351
175,1,443.994999,0.000351
176,1,510.895014,0.000351
177,1,363.479161,0.000351
178,1,428.695965,0.000351
179,1,569.140244,0.000351
180,1,301.031733,0.000351
181,1,429.484129,0.000351
182,1,459.825087,0.000351
183,1,438.437891,0.000351
184,1,362.758636,0.000351
185,1,501.946068,0.000351
186,1,366.434455,0.000351
187,1,377.475142,0.000351
188,1,460.723209,0.000351
189,1,484.104443,0.000351
190,1,334.53896,0.000351
191,1,406.891203,0.000351
192,1,440.376663,0.000351
193,1,407.210255,0.000351
194,1,363.928652,0.000351
195,1,463.58242,0.000351
196,1,417.865849,0.000351
197,1,407.614708,0.000351
198,1,383.108902,0.000351
199,1,443.473482,0.000351
200,1,425.054264,0.000351
201,1,456.790209,0.000351
202,1,458.696651,0.000351
203,1,467.917395,0.000351
204,1,347.537565,0.000351
205,1,448.42453,0.000351
206,1,413.864279,0.000351
207,1,411.359596,0.000351
208,1,406.804466,0.000351
209,1,348.972607,0.000351
210,1,342.493677,0.000351
211,1,454.090595,0.000351
212,1,387.343121,0.000351
213,1,422.383404,0.000351
214,1,450.364304,0.000351
215,1,425.30241,0.000351
216,1,447.763491,0.000351
217,1,416.755867,0.000351
218,1,340.327215,0.000351
219,1,332.476068,0.000351
220,1,436.015701,0.000351
221,1,374.194288,0.000351
222,1,382.119656,0.000351
223,1,408.596277,0.000351
224,1,367.390013,0.000351
225,1,412.906647,0.000351
226,1,381.1203,0.000351
227,1,459.658003,0.000351
228,1,478.93095,0.000351
229,1,402.983999,0.000351
230,1,415.954018,0.000351
231,1,383.276367,0.000351
232,1,398.880196,0.000351
233,1,431.490374,0.000351
234,1,463.85231,0.000351
235,1,296.573663,0.000351
236,1,394.804192,0.000351
237,1,380.420828,0.000351
238,1,379.7328,0.000351
239,1,409.096432,0.000351
240,1,506.814289,0.000351
241,1,345.43314,0.000351
242,1,447.144604,0.000351
243,1,400.932598,0.000351
244,1,486.502266,0.000351
245,1,376.366377,0.000351
246,1,344.94493,0.000351
247,1,386.817169,0.000351
248,1,395.387149,0.000351
249,1,427.26655,0.000351
250,1,429.050827,0.000351
251,1,515.555573,0.000351
252,1,452.841997,0.000351
253,1,317.891312,0.000351
254,1,393.924952,0.000351
255,1,395.292473,0.000351
256,1,409.103155,0.000354
257,1,376.588273,0.000354
258,1,385.435581,0.000354
259,1,421.058941,0.000354
260,1,516.144705,0.000354
261,1,470.592499,0.000354
262,1,384.184933,0.000354
263,1,463.144016,0.000354
264,1,335.839009,0.000354
265,1,444.322109,0.000354
266,1,384.365296,0.000354
267,1,403.982639,0.000354
268,1,449.030256,0.000354
269,1,467.562962,0.000354
270,1,468.489122,0.000354
271,1,402.131176,0.000354
272,1,386.299777,0.000354
273,1,460.505915,0.000354
274,1,415.42902,0.000354
275,1,403.38006,0.000354
276,1,426.120377,0.000354
277,1,438.021374,0.000354
278,1,519.400024,0.000354
279,1,410.769939,0.000354
280,1,325.197244,0.000354
281,1,414.684963,0.000354
282,1,393.323088,0.000354
283,1,394.548154,0.000354
284,1,459.376669,0.000354
285,1,289.325762,0.000354
286,1,469.941044,0.000354
287,1,373.772907,0.000354
288,1,434.809017,0.000354
289,1,436.042404,0.000354
290,1,298.618221,0.000354
291,1,513.623714,0.000354
292,1,416.154671,0.000354
293,1,374.73855,0.000354
294,1,473.365879,0.000354
295,1,499.11871,0.000354
296,1,372.192144,0.000354
297,1,433.568859,0.000354
298,1,345.072412,0.000354
299,1,365.923786,0.000354
300,1,407.753563,0.000354
301,1,305.2145,0.000354
302,1,309.7754,0.000354
303,1,457.246399,0.000354
304,1,452.255154,0.000354
305,1,415.087414,0.000354
306,1,402.445078,0.000354
307,1,488.021564,0.000354
308,1,428.260422,0.000354
309,1,327.868748,0.000354
310,1,327.419424,0.000354
311,1,368.584371,0.000354
312,1,478.650188,0.000354
313,1,401.516247,0.000354
314,1,412.830353,0.000354
315,1,406.975937,0.000354
316,1,528.229284,0.000354
317,1,393.060327,0.000354
318,1,416.158104,0.000354
319,1,343.116665,0.000354
320,1,409.608936,0.000354
321,1,428.04718,0.000354
322,1,341.41674,0.000354
323,1,444.837379,0.000354
324,1,393.316126,0.000354
325,1,459.56893,0.000354
326,1,488.793564,0.000354
327,1,360.186625,0.000354
328,1,422.386074,0.000354
329,1,364.162517,0.000354
330,1,386.612082,0.000354
331,1,472.576141,0.000354
332,1,373.48783,0.000354
333,1,531.884861,0.000354
334,1,355.256772,0.000354
335,1,439.195061,0.000354
336,1,388.778567,0.000354
337,1,423.490429,0.000354
338,1,449.080181,0.000354
339,1,417.011547,0.000354
340,1,478.561401,0.000354
341,1,367.023277,0.000354
342,1,405.455017,0.000354
343,1,374.350762,0.000354
344,1,375.678539,0.000354
345,1,355.747533,0.000354
346,1,437.091684,0.000354
347,1,378.076267,0.000354
348,1,405.466366,0.000354
349,1,405.839729,0.000354
350,1,466.760159,0.000354
351,1,378.379607,0.000354
352,1,345.484471,0.000354
353,1,387.21559,0.000354
354,1,379.809046,0.000354
355,1,460.015869,0.000354
356,1,350.786662,0.000354
357,1,454.243851,0.000354
358,1,426.706553,0.000354
359,1,354.980445,0.000354
360,1,447.073555,0.000354
361,1,416.448879,0.000354
362,1,387.763309,0.000354
363,1,413.411045,0.000354
364,1,446.646023,0.000354
365,1,455.112648,0.000354
366,1,461.341619,0.000354
367,1,423.159885,0.000354
368,1,404.430056,0.000354
369,1,481.635046,0.000354
370,1,515.659857,0.000354
371,1,348.629522,0.000354
372,0,,0.000354
373,1,347.034478,0.000354
374,1,529.342937,0.000354
375,1,445.139837,0.000354
376,1,421.705961,0.000354
377,1,435.654068,0.000354
378,1,374.431849,0.000354
379,1,401.686525,0.000354
380,1,285.053301,0.000354
381,1,431.362247,0.000354
382,1,405.280828,0.000354
383,1,425.877762,0.000354
384,1,345.068479,0.000357
385,1,442.065144,0.000357
386,1,370.005941,0.000357
387,1,554.27475,0.000357
388,1,433.496761,0.000357
389,1,430.162621,0.000357
390,1,478.916264,0.000357
391,1,465.309429,0.000357
392,1,459.986782,0.000357
393,1,380.797672,0.000357
394,1,413.127041,0.000357
395,1,492.346573,0.000357
396,1,463.328171,0.000357
397,1,408.340216,0.000357
398,1,365.457916,0.000357
399,1,460.226202,0.000357
400,1,437.780285,0.000357
401,1,411.811972,0.000357
402,1,371.469355,0.000357
403,1,388.137817,0.000357
404,1,405.443859,0.000357
405,1,515.659189,0.000357
406,1,371.959424,0.000357
407,1,383.899951,0.000357
408,1,375.882387,0.000357
409,1,340.526986,0.000357
410,1,468.54248,0.000357
411,1,411.205482,0.000357
412,1,366.56127,0.000357
413,1,433.649445,0.000357
414,1,443.329334,0.000357
415,1,436.241531,0.000357
416,1,393.4834,0.000357
417,1,334.406042,0.000357
418,1,332.908678,0.000357
419,1,414.918661,0.000357
420,1,415.426064,0.000357
421,1,415.920448,0.000357
422,1,400.89612,0.000357
423,1,453.158665,0.000357
424,1,500.232267,0.000357
425,1,334.316015,0.000357
426,1,402.189732,0.000357
427,1,387.162113,0.000357
428,1,408.47683,0.000357
429,1,461.016989,0.000357
430,1,381.749964,0.000357
431,1,410.048771,0.000357
432,1,379.035759,0.000357
433,1,421.056032,0.000357
434,1,482.235432,0.000357
435,1,429.849815,0.000357
436,1,405.764914,0.000357
437,1,462.364483,0.000357
438,1,419.755745,0.000357
439,1,428.862095,0.000357
440,1,422.398376,0.000357
441,1,464.945412,0.000357
442,1,433.456945,0.000357
443,1,482.717609,0.000357
444,1,442.276382,0.000357
445,1,495.25094,0.000357
446,1,440.75613,0.000357
447,1,399.136734,0.000357
448,1,475.899315,0.000357
449,1,436.912727,0.000357
450,1,387.2787,0.000357
451,1,362.65595,0.000357
452,1,437.808752,0.000357
453,1,389.791465,0.000357
454,1,525.629234,0.000357
455,1,421.646261,0.000357
456,1,359.589863,0.000357
457,1,339.276361,0.000357
458,1,500.809288,0.000357
459,1,467.831802,0.000357
460,1,495.149326,0.000357
461,1,367.515182,0.000357
462,1,398.057318,0.000357
463,1,460.599661,0.000357
464,1,436.683369,0.000357
465,1,321.51742,0.000357
466,1,369.235706,0.000357
467,1,343.219662,0.000357
468,1,446.290684,0.000357
469,1,352.853394,0.000357
470,1,431.731653,0.000357
471,1,376.365519,0.000357
472,1,358.411121,0.000357
473,1,464.484882,0.000357
474,1,350.560927,0.000357
