instance,feasibility,objective,runtime
0,1,750.024033,0.095587
1,1,842.379189,0.095587
2,1,824.138451,0.095587
3,1,785.634518,0.095587
4,1,851.331329,0.095587
5,1,713.047695,0.095587
6,1,792.440176,0.095587
7,1,847.511673,0.095587
8,1,750.075912,0.092028
9,1,717.634773,0.092028
10,1,821.461868,0.092028
11,1,847.817707,0.092028
12,1,837.248707,0.092028
13,1,853.334427,0.092028
14,1,796.990299,0.092028
15,1,957.727909,0.092028
16,1,792.992115,0.090999
17,1,760.984325,0.090999
18,1,805.87616,0.090999
19,1,856.931114,0.090999
20,1,654.844379,0.090999
21,1,752.387238,0.090999
22,1,782.436848,0.090999
23,1,913.27858,0.090999
24,0,,0.094181
25,1,820.943546,0.094181
26,1,732.828569,0.094181
27,1,864.644527,0.094181
28,1,842.460823,0.094181
29,1,988.903904,0.094181
30,1,802.816868,0.094181
31,1,773.952198,0.094181
32,1,859.403896,0.094659
33,0,,0.094659
34,0,,0.094659
35,1,842.920589,0.094659
36,1,776.120043,0.094659
37,1,849.817848,0.094659
38,0,,0.094659
39,1,690.223265,0.094659
40,0,,0.096523
41,1,760.630178,0.096523
42,1,802.182484,0.096523
43,1,792.310667,0.096523
44,1,769.718266,0.096523
45,1,762.611628,0.096523
46,1,720.109844,0.096523
47,1,862.72831,0.096523
48,1,816.531181,0.089885
49,1,798.858833,0.089885
50,1,867.504501,0.089885
51,1,847.592831,0.089885
52,1,842.073631,0.089885
53,1,860.065556,0.089885
54,1,785.715675,0.089885
55,0,,0.089885
56,1,885.998821,0.090699
57,1,763.908529,0.090699
58,1,780.467224,0.090699
59,1,807.178783,0.090699
60,1,985.846233,0.090699
61,1,732.375765,0.090699
62,1,843.948269,0.090699
63,1,852.573013,0.090699
64,1,788.60321,0.092606
65,0,,0.092606
66,1,889.497185,0.092606
67,1,810.436916,0.092606
68,1,846.906281,0.092606
69,1,800.537872,0.092606
70,1,804.692745,0.092606
71,1,787.078857,0.092606
72,1,804.318523,0.097545
73,1,887.055016,0.097545
74,1,839.935684,0.097545
75,0,,0.097545
76,1,870.414543,0.097545
77,1,719.458103,0.097545
78,1,746.297741,0.097545
79,1,840.563011,0.097545
80,1,816.71524,0.098209
81,1,818.02206,0.098209
82,1,764.975595,0.098209
83,1,821.017838,0.098209
84,1,833.889675,0.098209
85,1,794.444561,0.098209
86,1,857.576084,0.098209
87,0,,0.098209
88,1,767.087841,0.09133
89,1,836.907768,0.09133
90,0,,0.09133
91,1,778.317785,0.09133
92,1,805.567455,0.09133
93,1,792.966318,0.09133
94,1,874.981499,0.09133
95,1,845.338345,0.09133
96,1,853.506851,0.096393
97,1,866.783237,0.096393
98,0,,0.096393
99,1,876.139832,0.096393
100,1,804.712296,0.096393
101,1,886.033726,0.096393
102,1,848.861408,0.096393
103,1,830.959702,0.096393
104,1,781.74386,0.09128
105,1,885.325336,0.09128
106,1,883.677292,0.09128
107,1,820.492172,0.09128
108,1,745.604706,0.09128
109,1,891.234112,0.09128
110,1,857.843113,0.09128
111,1,732.313871,0.09128
112,1,864.099407,0.080854
113,1,868.979168,0.080854
114,1,873.27137,0.080854
115,1,852.506447,0.080854
116,1,861.061573,0.080854
117,1,878.09639,0.080854
118,1,775.49634,0.080854
119,1,789.073133,0.080854
120,1,847.306442,0.082524
121,1,833.962631,0.082524
122,0,,0.082524
123,1,825.578785,0.082524
124,1,886.255455,0.082524
125,1,899.554062,0.082524
126,1,808.723831,0.082524
127,1,927.21138,0.082524
128,1,831.455421,0.068789
129,1,818.23225,0.068789
130,1,751.057148,0.068789
131,1,938.338184,0.068789
132,1,856.228924,0.068789
133,1,887.515259,0.068789
134,0,,0.068789
135,1,706.645203,0.068789
136,1,796.531439,0.089827
137,1,859.23996,0.089827
138,1,861.923695,0.089827
139,1,791.075563,0.089827
140,1,722.203255,0.089827
141,1,825.058842,0.089827
142,1,725.043106,0.089827
143,1,884.925842,0.089827
144,1,873.331642,0.087345
145,1,773.557854,0.087345
146,1,807.939243,0.087345
147,1,680.051661,0.087345
148,1,812.178516,0.087345
149,1,762.456608,0.087345
150,1,728.273106,0.087345
151,1,887.331772,0.087345
152,1,804.670143,0.088113
153,1,667.47632,0.088113
154,1,785.933113,0.088113
155,1,829.395771,0.088113
156,1,856.070805,0.088113
157,1,779.863977,0.088113
158,1,880.537796,0.088113
159,1,822.927094,0.088113
160,1,908.989048,0.092136
161,1,851.22757,0.092136
162,1,835.663795,0.092136
163,1,903.997421,0.092136
164,1,660.661745,0.092136
165,1,906.857491,0.092136
166,0,,0.092136
167,1,884.322357,0.092136
168,1,806.016922,0.095343
169,1,900.928783,0.095343
170,1,858.215809,0.095343
171,1,856.47707,0.095343
172,1,918.979263,0.095343
173,1,770.720625,0.095343
174,1,793.441963,0.095343
175,1,819.592476,0.095343
176,1,885.45084,0.09484
177,1,767.828751,0.09484
178,1,854.986858,0.09484
179,1,772.244787,0.09484
180,1,898.314571,0.09484
181,1,844.835377,0.09484
182,1,870.962906,0.09484
183,1,797.213697,0.09484
184,1,879.061222,0.092162
185,1,976.293468,0.092162
186,1,899.620438,0.092162
187,1,791.166306,0.092162
