instance,feasibility,objective,runtime
0,1,788.675022,0.113509
1,1,865.223503,0.113509
2,1,835.379124,0.113509
3,1,807.657051,0.113509
4,1,854.063129,0.113509
5,1,708.303547,0.113509
6,1,828.764629,0.113509
7,0,,0.113509
8,1,763.423347,0.113397
9,1,679.884958,0.113397
10,1,852.569675,0.113397
11,1,821.879387,0.113397
12,1,798.428392,0.113397
13,1,840.552807,0.113397
14,1,760.756683,0.113397
15,1,974.51725,0.113397
16,1,762.36763,0.109584
17,1,756.401014,0.109584
18,1,815.115929,0.109584
19,1,832.130718,0.109584
20,1,647.68362,0.109584
21,1,748.023081,0.109584
22,1,762.109947,0.109584
23,1,904.793644,0.109584
24,0,,0.110125
25,1,806.226921,0.110125
26,1,742.901564,0.110125
27,1,866.989613,0.110125
28,1,843.002415,0.110125
29,1,990.989399,0.110125
30,1,779.493093,0.110125
31,1,757.446671,0.110125
32,1,858.247089,0.098701
33,1,920.096111,0.098701
34,1,855.22356,0.098701
35,1,840.399742,0.098701
36,1,802.317524,0.098701
37,1,829.311275,0.098701
38,1,908.698177,0.098701
39,1,692.793608,0.098701
40,1,869.278431,0.114873
41,1,759.003401,0.114873
42,1,799.273014,0.114873
43,1,795.694065,0.114873
44,1,782.233334,0.114873
45,1,775.500727,0.114873
46,1,720.045376,0.114873
47,1,839.03389,0.114873
48,1,814.259338,0.112716
49,1,808.224487,0.112716
50,1,877.707863,0.112716
51,1,854.475307,0.112716
52,1,838.164711,0.112716
53,1,865.189171,0.112716
54,1,760.73513,0.112716
55,1,825.623989,0.112716
56,1,885.151672,0.117069
57,1,783.654881,0.117069
58,1,774.608994,0.117069
59,1,812.082386,0.117069
60,1,942.779827,0.117069
61,1,732.136011,0.117069
62,1,835.721684,0.117069
63,0,,0.117069
64,1,811.338711,0.116253
65,0,,0.116253
66,1,889.01062,0.116253
67,1,837.583256,0.116253
68,1,779.025364,0.116253
69,1,816.826344,0.116253
70,1,791.608381,0.116253
71,1,805.091572,0.116253
72,1,797.179461,0.107901
73,1,864.61525,0.107901
74,1,926.463509,0.107901
75,1,860.923386,0.107901
76,0,,0.107901
77,1,701.788521,0.107901
78,1,772.812986,0.107901
79,1,841.819191,0.107901
80,1,798.433733,0.114415
81,1,815.484524,0.114415
82,1,759.084129,0.114415
83,1,812.67395,0.114415
84,1,856.592274,0.114415
85,1,789.682913,0.114415
86,1,816.699314,0.114415
87,1,920.022774,0.114415
88,1,782.2721,0.109515
89,1,819.731236,0.109515
90,0,,0.109515
91,1,758.892584,0.109515
92,1,805.248356,0.109515
93,0,,0.109515
94,1,837.945747,0.109515
95,1,851.024532,0.109515
96,1,828.197289,0.114578
97,1,808.554935,0.114578
98,1,822.166824,0.114578
99,1,842.823792,0.114578
100,1,810.798073,0.114578
101,1,889.394951,0.114578
102,1,906.143475,0.114578
103,0,,0.114578
104,1,755.424261,0.099756
105,1,861.835289,0.099756
106,1,879.160786,0.099756
107,1,818.300438,0.099756
108,1,765.332317,0.099756
109,1,891.782284,0.099756
110,1,864.313507,0.099756
111,1,730.944014,0.099756
112,1,880.02224,0.112479
113,1,863.188744,0.112479
114,1,873.727322,0.112479
115,0,,0.112479
116,1,845.133495,0.112479
117,1,872.766781,0.112479
118,1,793.615866,0.112479
119,1,781.381607,0.112479
120,1,824.133873,0.10264
121,1,815.798759,0.10264
122,1,868.128681,0.10264
123,1,832.190704,0.10264
124,1,853.410816,0.10264
125,1,905.490303,0.10264
126,1,826.68705,0.10264
127,1,916.327858,0.10264
128,1,815.535641,0.111234
129,1,800.212002,0.111234
130,1,756.549644,0.111234
131,1,893.895435,0.111234
132,1,874.527931,0.111234
133,0,,0.111234
134,0,,0.111234
135,1,710.584497,0.111234
136,1,804.148769,0.116431
137,1,858.997345,0.116431
138,1,869.190788,0.116431
139,1,797.817659,0.116431
140,1,693.217134,0.116431
141,1,803.952885,0.116431
142,1,732.648706,0.116431
143,1,877.698994,0.116431
144,1,884.869003,0.113182
145,1,775.916195,0.113182
146,1,808.664989,0.113182
147,1,684.313822,0.113182
148,1,811.749172,0.113182
149,1,756.770802,0.113182
150,1,746.884298,0.113182
151,1,884.223843,0.113182
152,1,785.237789,0.076439
153,1,695.321846,0.076439
154,1,771.213579,0.076439
155,1,814.717102,0.076439
156,1,833.086109,0.076439
157,1,772.220802,0.076439
158,0,,0.076439
159,1,831.215286,0.076439
160,1,920.121479,0.101402
161,1,861.599541,0.101402
162,1,831.807423,0.101402
163,1,874.881649,0.101402
164,1,658.609724,0.101402
165,1,853.048611,0.101402
166,1,811.216068,0.101402
167,1,878.162956,0.101402
168,1,804.419422,0.104275
169,1,873.918819,0.104275
170,1,861.967945,0.104275
171,1,864.481926,0.104275
172,1,917.965412,0.104275
173,1,778.104448,0.104275
174,1,811.534882,0.104275
175,1,813.590908,0.104275
176,1,880.615807,0.109274
177,1,761.556101,0.109274
178,0,,0.109274
179,1,754.177475,0.109274
180,1,880.74894,0.109274
181,1,843.423557,0.109274
182,1,871.900749,0.109274
183,1,790.717936,0.109274
184,1,879.684353,0.109972
185,1,903.564644,0.109972
186,1,862.117767,0.109972
187,1,785.778236,0.109972
188,1,656.253672,0.109972
189,1,821.998405,0.109972
190,1,808.068752,0.109972
191,1,824.950027,0.109972
192,1,745.576048,0.111206
193,1,985.637474,0.111206
194,1,829.24633,0.111206
195,1,770.699692,0.111206
196,1,875.507641,0.111206
197,1,804.102039,0.111206
198,1,697.371769,0.111206
199,0,,0.111206
200,1,836.182022,0.109966
201,1,705.282259,0.109966
202,1,791.504526,0.109966
203,0,,0.109966
204,1,936.580658,0.109966
205,1,880.331612,0.109966
206,1,730.037498,0.109966
207,1,759.274435,0.109966
208,1,882.914925,0.116656
209,1,900.879765,0.116656
210,1,804.64201,0.116656
211,1,887.663555,0.116656
212,1,803.947258,0.116656
213,1,883.097076,0.116656
214,0,,0.116656
215,1,853.797054,0.116656
216,1,804.592609,0.109456
217,1,796.142101,0.109456
218,1,929.20866,0.109456
219,1,866.686153,0.109456
