instance,feasibility,objective,runtime
0,1,758.716631,0.000453
1,1,831.394672,0.000453
2,1,821.077442,0.000453
3,1,788.267803,0.000453
4,1,844.209766,0.000453
5,1,707.729959,0.000453
6,1,800.635338,0.000453
7,1,841.017914,0.000453
8,1,758.558369,0.000453
9,1,697.351646,0.000453
10,1,832.314587,0.000453
11,1,830.270672,0.000453
12,1,788.606262,0.000453
13,1,849.31078,0.000453
14,1,763.902187,0.000453
15,1,970.816135,0.000453
16,1,768.190002,0.000453
17,1,754.771852,0.000453
18,1,809.36718,0.000453
19,1,834.492207,0.000453
20,1,657.928848,0.000453
21,1,751.055622,0.000453
22,1,769.701862,0.000453
23,1,923.893547,0.000453
24,1,849.485588,0.000453
25,1,813.254642,0.000453
26,1,755.503178,0.000453
27,1,855.057907,0.000453
28,1,831.876564,0.000453
29,1,957.33242,0.000453
30,1,779.10738,0.000453
31,1,771.229649,0.000453
32,1,829.699612,0.000453
33,1,889.689732,0.000453
34,1,842.539406,0.000453
35,1,836.137199,0.000453
36,1,785.495758,0.000453
37,1,846.580887,0.000453
38,1,937.950516,0.000453
39,1,688.641405,0.000453
40,1,862.020874,0.000453
41,1,753.377199,0.000453
42,1,790.553999,0.000453
43,1,795.41769,0.000453
44,1,771.419907,0.000453
45,1,795.125723,0.000453
46,1,713.933945,0.000453
47,1,850.101089,0.000453
48,1,840.971279,0.000453
49,1,815.720749,0.000453
50,1,872.373772,0.000453
51,1,853.281593,0.000453
52,1,801.558781,0.000453
53,1,856.838226,0.000453
54,0,,0.000453
55,1,792.662668,0.000453
56,1,881.01511,0.000453
57,1,791.569519,0.000453
58,1,796.725082,0.000453
59,1,833.526897,0.000453
60,1,955.581188,0.000453
61,1,734.122181,0.000453
62,1,848.396683,0.000453
63,1,831.02684,0.000453
64,0,,0.000453
65,1,923.454285,0.000453
66,1,878.14579,0.000453
67,1,811.700153,0.000453
68,1,764.223957,0.000453
69,1,798.510599,0.000453
70,1,796.759033,0.000453
71,1,797.483158,0.000453
72,1,785.311604,0.000453
73,1,873.563385,0.000453
74,1,836.286354,0.000453
75,1,809.695911,0.000453
76,1,884.070396,0.000453
77,1,708.389807,0.000453
78,1,750.007486,0.000453
79,1,803.277683,0.000453
80,1,808.646011,0.000453
81,1,813.81712,0.000453
82,1,780.983114,0.000453
83,1,803.133488,0.000453
84,1,844.667625,0.000453
85,1,793.552017,0.000453
86,1,826.578522,0.000453
87,1,895.125675,0.000453
88,1,765.279675,0.000453
89,1,838.200283,0.000453
90,1,821.949005,0.000453
91,1,769.559097,0.000453
92,1,800.587177,0.000453
93,1,781.545973,0.000453
94,1,842.218781,0.000453
95,1,849.007416,0.000453
96,1,799.729061,0.000453
97,1,833.004379,0.000453
98,1,821.317673,0.000453
99,1,842.26923,0.000453
100,1,793.002892,0.000453
101,1,887.528419,0.000453
102,1,865.2771,0.000453
103,1,846.290398,0.000453
104,1,772.546434,0.000453
105,1,841.521931,0.000453
106,1,870.962811,0.000453
107,1,829.32806,0.000453
108,1,742.362309,0.000453
109,1,898.587227,0.000453
110,1,857.508087,0.000453
111,1,731.556702,0.000453
112,1,873.133087,0.000453
113,1,848.781872,0.000453
114,1,886.500263,0.000453
115,1,843.232822,0.000453
116,1,840.216732,0.000453
117,1,883.01487,0.000453
118,1,794.411659,0.000453
119,1,795.090294,0.000453
120,1,830.984783,0.000453
121,1,812.91008,0.000453
122,1,846.742916,0.000453
123,1,792.683315,0.000453
124,1,877.891731,0.000453
125,1,902.932549,0.000453
126,1,805.872917,0.000453
127,1,918.820572,0.000453
128,1,817.779541,0.000452
129,1,813.552666,0.000452
130,1,732.506037,0.000452
131,1,885.337448,0.000452
132,1,844.455338,0.000452
133,1,851.466942,0.000452
134,0,,0.000452
135,1,742.566156,0.000452
136,1,795.754194,0.000452
137,0,,0.000452
138,1,873.714066,0.000452
139,1,792.426872,0.000452
140,1,692.795706,0.000452
141,1,810.596943,0.000452
142,1,718.976116,0.000452
143,1,870.511532,0.000452
144,1,879.343796,0.000452
145,1,783.2201,0.000452
146,1,819.885254,0.000452
147,1,697.050428,0.000452
148,1,819.683647,0.000452
149,1,755.899048,0.000452
150,1,731.925583,0.000452
151,1,864.502525,0.000452
152,1,809.092712,0.000452
153,1,700.356293,0.000452
154,1,768.387222,0.000452
155,1,817.853069,0.000452
156,1,861.136723,0.000452
157,1,777.023649,0.000452
158,1,886.517906,0.000452
159,1,807.411289,0.000452
160,1,899.334717,0.000452
161,1,866.378403,0.000452
162,1,857.960892,0.000452
163,1,877.413559,0.000452
164,1,639.443874,0.000452
165,1,831.497002,0.000452
166,1,817.915154,0.000452
167,1,890.565872,0.000452
168,1,807.602787,0.000452
169,1,867.86747,0.000452
170,1,852.680397,0.000452
171,1,862.964249,0.000452
172,1,935.721588,0.000452
173,1,767.134476,0.000452
174,1,783.999586,0.000452
175,1,817.187595,0.000452
176,1,879.385376,0.000452
177,1,792.093325,0.000452
178,1,849.770355,0.000452
179,1,749.99485,0.000452
180,1,877.060509,0.000452
181,1,838.266182,0.000452
182,1,862.135792,0.000452
183,1,791.202688,0.000452
184,1,866.799164,0.000452
185,1,912.231255,0.000452
186,1,920.427704,0.000452
187,1,796.981192,0.000452
188,1,675.847816,0.000452
189,1,824.115181,0.000452
190,1,795.371294,0.000452
191,1,839.497948,0.000452
192,1,766.254807,0.000452
193,1,956.010056,0.000452
194,1,829.214859,0.000452
195,1,768.536377,0.000452
196,1,856.063461,0.000452
197,1,789.892864,0.000452
198,1,711.803436,0.000452
199,1,895.844746,0.000452
200,1,844.911766,0.000452
201,1,718.984509,0.000452
202,1,785.232449,0.000452
203,1,875.437927,0.000452
204,1,950.57354,0.000452
205,1,874.922466,0.000452
206,1,730.613089,0.000452
207,1,714.340544,0.000452
208,1,873.313332,0.000452
209,1,848.69175,0.000452
210,1,817.32111,0.000452
211,1,896.016121,0.000452
212,1,805.256939,0.000452
213,1,866.874409,0.000452
214,1,883.586502,0.000452
215,1,862.555504,0.000452
216,1,800.535202,0.000452
217,1,784.729385,0.000452
218,1,903.767681,0.000452
219,1,864.574814,0.000452
