instance,feasibility,objective,runtime
0,1,758.716631,0.000467
1,1,831.394672,0.000467
2,1,821.077442,0.000467
3,1,788.267803,0.000467
4,1,844.209766,0.000467
5,1,707.729959,0.000467
6,1,800.635338,0.000467
7,1,841.017914,0.000467
8,1,758.558369,0.000467
9,1,697.351646,0.000467
10,1,832.314587,0.000467
11,1,830.270672,0.000467
12,1,788.606262,0.000467
13,1,849.31078,0.000467
14,1,763.902187,0.000467
15,1,970.816135,0.000467
16,1,768.190002,0.000467
17,1,754.771852,0.000467
18,1,809.36718,0.000467
19,1,834.492207,0.000467
20,1,657.928848,0.000467
21,1,751.055622,0.000467
22,1,769.701862,0.000467
23,1,923.893547,0.000467
24,1,849.485588,0.000467
25,1,813.254642,0.000467
26,1,755.503178,0.000467
27,1,855.057907,0.000467
28,1,831.876564,0.000467
29,1,957.33242,0.000467
30,1,779.10738,0.000467
31,1,771.229649,0.000467
32,1,829.699612,0.000467
33,1,889.689732,0.000467
34,1,842.539406,0.000467
35,1,836.137199,0.000467
36,1,785.495758,0.000467
37,1,846.580887,0.000467
38,1,937.950516,0.000467
39,1,688.641405,0.000467
40,1,862.020874,0.000467
41,1,753.377199,0.000467
42,1,790.553999,0.000467
43,1,795.41769,0.000467
44,1,771.419907,0.000467
45,1,795.125723,0.000467
46,1,713.933945,0.000467
47,1,850.101089,0.000467
48,1,840.971279,0.000467
49,1,815.720749,0.000467
50,1,872.373772,0.000467
51,1,853.281593,0.000467
52,1,801.558781,0.000467
53,1,856.838226,0.000467
54,0,,0.000467
55,1,792.662668,0.000467
56,1,881.01511,0.000467
57,1,791.569519,0.000467
58,1,796.725082,0.000467
59,1,833.526897,0.000467
60,1,955.581188,0.000467
61,1,734.122181,0.000467
62,1,848.396683,0.000467
63,1,831.02684,0.000467
64,0,,0.000467
65,1,923.454285,0.000467
66,1,878.14579,0.000467
67,1,811.700153,0.000467
68,1,764.223957,0.000467
69,1,798.510599,0.000467
70,1,796.759033,0.000467
71,1,797.483158,0.000467
72,1,785.311604,0.000467
73,1,873.563385,0.000467
74,1,836.286354,0.000467
75,1,809.695911,0.000467
76,1,884.070396,0.000467
77,1,708.389807,0.000467
78,1,750.007486,0.000467
79,1,803.277683,0.000467
80,1,808.646011,0.000467
81,1,813.81712,0.000467
82,1,780.983114,0.000467
83,1,803.133488,0.000467
84,1,844.667625,0.000467
85,1,793.552017,0.000467
86,1,826.578522,0.000467
87,1,895.125675,0.000467
88,1,765.279675,0.000467
89,1,838.200283,0.000467
90,1,821.949005,0.000467
91,1,769.559097,0.000467
92,1,800.587177,0.000467
93,1,781.545973,0.000467
94,1,842.218781,0.000467
95,1,849.007416,0.000467
96,1,799.729061,0.000467
97,1,833.004379,0.000467
98,1,821.317673,0.000467
99,1,842.26923,0.000467
100,1,793.002892,0.000467
