instance,feasibility,objective,runtime
0,1,734.776878,0.000832
1,1,849.285698,0.000832
2,1,812.612915,0.000832
3,1,786.284065,0.000832
4,1,829.70562,0.000832
5,1,716.710472,0.000832
6,1,775.627041,0.000832
7,1,814.520931,0.000832
8,1,749.768162,0.000832
9,1,687.736607,0.000832
10,1,808.115196,0.000832
11,1,819.536877,0.000832
12,1,789.845276,0.000832
13,1,842.014313,0.000832
14,1,739.734077,0.000832
15,1,948.386765,0.000832
16,1,765.024281,0.000832
17,1,755.995274,0.000832
18,1,779.437447,0.000832
19,1,836.638641,0.000832
20,1,636.314964,0.000832
21,1,743.908453,0.000832
22,1,759.583282,0.000832
23,1,899.579906,0.000832
24,1,814.838791,0.000832
25,1,800.835228,0.000832
26,1,723.014545,0.000832
27,1,842.094707,0.000832
28,1,831.357002,0.000832
29,1,952.029991,0.000832
30,1,768.97397,0.000832
31,1,758.797407,0.000832
32,1,830.536079,0.000832
33,1,879.533386,0.000832
34,1,840.84425,0.000832
35,1,827.774811,0.000832
36,1,771.885967,0.000832
37,1,824.912262,0.000832
38,1,894.610691,0.000832
39,1,668.785381,0.000832
40,1,866.1623,0.000832
41,1,746.217632,0.000832
42,1,802.117538,0.000832
43,1,781.687641,0.000832
44,1,771.733379,0.000832
45,1,772.739553,0.000832
46,1,715.599442,0.000832
47,1,837.416553,0.000832
48,1,822.647762,0.000832
49,1,801.235676,0.000832
50,1,874.380589,0.000832
51,1,831.19812,0.000832
52,1,792.868614,0.000832
53,1,851.601219,0.000832
54,0,,0.000832
55,1,789.679909,0.000832
56,1,869.029427,0.000832
57,1,765.22603,0.000832
58,1,782.511616,0.000832
59,1,816.176033,0.000832
60,1,927.902412,0.000832
61,1,733.508968,0.000832
62,1,832.540226,0.000832
63,1,830.563354,0.000832
64,0,,0.000832
65,1,917.368126,0.000832
66,1,877.80571,0.000832
67,1,812.816143,0.000832
68,1,764.637041,0.000832
69,1,795.836258,0.000832
70,1,787.925386,0.000832
71,1,786.759853,0.000832
72,1,769.942141,0.000832
73,1,857.808399,0.000832
74,1,817.930984,0.000832
75,1,763.997698,0.000832
76,1,859.720421,0.000832
77,1,681.766844,0.000832
78,1,747.277117,0.000832
79,1,808.487129,0.000832
80,1,801.399803,0.000832
81,1,807.926369,0.000832
82,1,751.185703,0.000832
83,1,805.633545,0.000832
84,1,830.639839,0.000832
85,1,786.21254,0.000832
86,1,809.348965,0.000832
87,1,877.465343,0.000832
88,1,761.464882,0.000832
89,1,818.419838,0.000832
90,1,832.76968,0.000832
91,1,740.062046,0.000832
92,1,795.689011,0.000832
93,1,774.298143,0.000832
94,1,830.071735,0.000832
95,1,851.84412,0.000832
96,1,780.615807,0.000832
97,1,821.843338,0.000832
98,1,818.243408,0.000832
99,1,839.365196,0.000832
100,1,776.010704,0.000832
101,1,885.769272,0.000832
102,1,829.359818,0.000832
103,1,791.312599,0.000832
104,1,754.311848,0.000832
