instance,feasibility,objective,runtime
0,1,751.806164,0.000885
1,1,844.189262,0.000885
2,1,818.952179,0.000885
3,1,819.506073,0.000885
4,1,833.88195,0.000885
5,1,731.270885,0.000885
6,1,779.063988,0.000885
7,1,827.704716,0.000885
8,1,833.262825,0.000885
9,1,701.70393,0.000885
10,1,838.236427,0.000885
11,1,829.919147,0.000885
12,1,803.227425,0.000885
13,1,843.556023,0.000885
14,1,763.355923,0.000885
15,0,,0.000885
16,1,776.461315,0.000885
17,1,758.149099,0.000885
18,1,810.387707,0.000885
19,1,849.712944,0.000885
20,1,738.917351,0.000885
21,1,792.328024,0.000885
22,1,764.690876,0.000885
23,1,951.203918,0.000885
24,1,813.258934,0.000885
25,1,797.646904,0.000885
26,1,745.075893,0.000885
27,1,848.434067,0.000885
28,1,835.669327,0.000885
29,1,957.319641,0.000885
30,1,774.903202,0.000885
31,1,780.500317,0.000885
32,1,858.426476,0.000885
33,1,892.219162,0.000885
34,1,844.346619,0.000885
35,1,835.983467,0.000885
36,1,788.371754,0.000885
37,1,849.990845,0.000885
38,1,891.948223,0.000885
39,1,670.918941,0.000885
40,1,902.878761,0.000885
41,1,758.413076,0.000885
42,1,804.495049,0.000885
43,1,818.120003,0.000885
44,1,774.095154,0.000885
45,1,769.129896,0.000885
46,1,747.956467,0.000885
47,1,849.72477,0.000885
48,1,849.440956,0.000885
49,1,811.681652,0.000885
50,1,887.363625,0.000885
51,1,849.892712,0.000885
52,1,812.835789,0.000885
53,1,879.308224,0.000885
54,0,,0.000885
55,1,774.737358,0.000885
56,1,899.958324,0.000885
57,1,764.935112,0.000885
58,1,794.411087,0.000885
59,1,826.159573,0.000885
60,1,929.68483,0.000885
61,1,745.560074,0.000885
62,1,831.861687,0.000885
63,1,865.849113,0.000885
64,0,,0.000885
65,1,926.504612,0.000885
66,1,881.58474,0.000885
67,1,815.394592,0.000885
68,1,768.232775,0.000885
69,1,831.971645,0.000885
70,1,791.071558,0.000885
71,1,788.263226,0.000885
72,1,818.25943,0.000885
73,1,862.419224,0.000885
74,1,830.753708,0.000885
75,1,783.085585,0.000885
76,1,880.203438,0.000885
77,1,719.493484,0.000885
78,1,757.716179,0.000885
79,1,829.091358,0.000885
80,1,795.46051,0.000885
81,1,807.15065,0.000885
82,1,762.534332,0.000885
83,1,809.51786,0.000885
84,1,813.393021,0.000885
85,1,797.139168,0.000885
86,1,866.61272,0.000885
87,1,888.036633,0.000885
88,1,762.855959,0.000885
89,1,844.569683,0.000885
90,1,837.888527,0.000885
91,1,750.74563,0.000885
92,1,800.62952,0.000885
93,1,776.872253,0.000885
94,1,835.684967,0.000885
95,1,869.860649,0.000885
96,1,826.762104,0.000885
97,1,836.410713,0.000885
98,1,817.583084,0.000885
99,1,845.902824,0.000885
100,1,789.097691,0.000885
101,1,894.839287,0.000885
102,1,860.01358,0.000885
103,1,776.114082,0.000885
104,1,757.047176,0.000885
105,1,869.345665,0.000885
106,1,866.614532,0.000885
107,1,828.22628,0.000885
108,1,733.88319,0.000885
109,1,875.623322,0.000885
110,1,860.476017,0.000885
111,1,749.46413,0.000885
112,1,879.014492,0.000885
113,1,867.640972,0.000885
114,1,870.230293,0.000885
115,1,834.451962,0.000885
116,1,839.615917,0.000885
117,1,896.988297,0.000885
118,1,811.962032,0.000885
119,1,785.971355,0.000885
120,1,827.021217,0.000885
121,1,817.597198,0.000885
122,1,865.085983,0.000885
123,1,804.919243,0.000885
124,1,879.721451,0.000885
125,1,893.95752,0.000885
126,1,804.641247,0.000885
127,1,917.41581,0.000885
128,1,830.390358,0.000887
129,1,824.786568,0.000887
130,1,729.929304,0.000887
131,1,867.512035,0.000887
132,1,858.501816,0.000887
133,1,852.380371,0.000887
134,0,,0.000887
135,1,709.777021,0.000887
136,1,789.980936,0.000887
137,0,,0.000887
138,1,876.266766,0.000887
139,1,788.237381,0.000887
140,1,748.214483,0.000887
141,1,847.81723,0.000887
142,1,742.730951,0.000887
143,1,872.7005,0.000887
144,1,895.631981,0.000887
145,1,772.12286,0.000887
146,1,790.95726,0.000887
147,1,712.737894,0.000887
148,1,795.73741,0.000887
149,1,754.674625,0.000887
150,1,753.282213,0.000887
151,1,900.610256,0.000887
152,1,831.751728,0.000887
153,1,680.49984,0.000887
154,1,761.37352,0.000887
155,1,812.129688,0.000887
156,1,849.670219,0.000887
157,1,781.864929,0.000887
158,1,850.797558,0.000887
159,1,801.730824,0.000887
160,1,906.317425,0.000887
161,1,860.988426,0.000887
162,1,866.881752,0.000887
163,1,885.936165,0.000887
164,1,641.165352,0.000887
165,1,820.355034,0.000887
166,1,804.384422,0.000887
167,1,883.114624,0.000887
168,1,804.649544,0.000887
